State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.599,3.821,4.03,3.868,U.S Dollar,US Gallon,2026-03-01
Alabama,AL,2.655,3.111,3.508,3.48,U.S Dollar,US Gallon,2026-03-01
Arkansas,AR,2.607,3.054,3.428,3.434,U.S Dollar,US Gallon,2026-03-01
Arizona,AZ,3.317,3.711,4.03,3.645,U.S Dollar,US Gallon,2026-03-01
California,CA,4.646,4.878,5.065,5.107,U.S Dollar,US Gallon,2026-03-01
Colorado,CO,2.861,3.261,3.592,3.484,U.S Dollar,US Gallon,2026-03-01
Connecticut,CT,2.918,3.573,3.961,3.99,U.S Dollar,US Gallon,2026-03-01
District of Columbia,DC,3.107,3.693,4.104,3.873,U.S Dollar,US Gallon,2026-03-01
Delaware,DE,2.891,3.514,3.808,3.93,U.S Dollar,US Gallon,2026-03-01
Florida,FL,2.888,3.347,3.681,3.688,U.S Dollar,US Gallon,2026-03-01
Georgia,GA,2.789,3.264,3.674,3.614,U.S Dollar,US Gallon,2026-03-01
Hawaii,HI,4.394,4.618,4.858,5.213,U.S Dollar,US Gallon,2026-03-01
Iowa,IA,2.637,2.895,3.51,3.565,U.S Dollar,US Gallon,2026-03-01
Idaho,ID,2.973,3.244,3.519,3.658,U.S Dollar,US Gallon,2026-03-01
Illinois,IL,3.057,3.632,4.106,3.833,U.S Dollar,US Gallon,2026-03-01
Indiana,IN,2.807,3.352,3.841,3.841,U.S Dollar,US Gallon,2026-03-01
Kansas,KS,2.551,2.897,3.237,3.402,U.S Dollar,US Gallon,2026-03-01
Kentucky,KY,2.636,3.184,3.615,3.44,U.S Dollar,US Gallon,2026-03-01
Louisiana,LA,2.572,3.008,3.407,3.323,U.S Dollar,US Gallon,2026-03-01
Massachusetts,MA,2.909,3.549,3.916,3.954,U.S Dollar,US Gallon,2026-03-01
Maryland,MD,2.945,3.566,3.876,3.949,U.S Dollar,US Gallon,2026-03-01
Maine,ME,2.913,3.47,3.931,4.324,U.S Dollar,US Gallon,2026-03-01
Michigan,MI,2.99,3.565,4.124,3.889,U.S Dollar,US Gallon,2026-03-01
Minnesota,MN,2.789,3.227,3.733,3.68,U.S Dollar,US Gallon,2026-03-01
Missouri,MO,2.663,3.054,3.363,3.447,U.S Dollar,US Gallon,2026-03-01
Mississippi,MS,2.547,3.013,3.389,3.319,U.S Dollar,US Gallon,2026-03-01
Montana,MT,2.804,3.102,3.433,3.389,U.S Dollar,US Gallon,2026-03-01
North Carolina,NC,2.749,3.205,3.599,3.542,U.S Dollar,US Gallon,2026-03-01
North Dakota,ND,2.632,2.971,3.316,3.58,U.S Dollar,US Gallon,2026-03-01
Nebraska,NE,2.744,2.924,3.448,3.472,U.S Dollar,US Gallon,2026-03-01
New Hampshire,NH,2.858,3.457,3.889,4.012,U.S Dollar,US Gallon,2026-03-01
New Jersey,NJ,2.916,3.502,3.76,3.968,U.S Dollar,US Gallon,2026-03-01
New Mexico,NM,2.752,3.181,3.494,3.548,U.S Dollar,US Gallon,2026-03-01
Nevada,NV,3.701,3.996,4.265,3.888,U.S Dollar,US Gallon,2026-03-01
New York,NY,3.005,3.534,3.918,4.01,U.S Dollar,US Gallon,2026-03-01
Ohio,OH,2.781,3.298,3.803,3.811,U.S Dollar,US Gallon,2026-03-01
Oklahoma,OK,2.475,2.895,3.184,3.296,U.S Dollar,US Gallon,2026-03-01
Oregon,OR,3.921,4.156,4.421,4.252,U.S Dollar,US Gallon,2026-03-01
Pennsylvania,PA,3.105,3.557,3.933,4.207,U.S Dollar,US Gallon,2026-03-01
Rhode Island,RI,2.897,3.642,4.059,3.976,U.S Dollar,US Gallon,2026-03-01
South Carolina,SC,2.665,3.127,3.511,3.497,U.S Dollar,US Gallon,2026-03-01
South Dakota,SD,2.698,2.886,3.396,3.472,U.S Dollar,US Gallon,2026-03-01
Tennessee,TN,2.571,3.028,3.428,3.461,U.S Dollar,US Gallon,2026-03-01
Texas,TX,2.597,3.093,3.464,3.297,U.S Dollar,US Gallon,2026-03-01
Utah,UT,2.741,3.028,3.266,3.62,U.S Dollar,US Gallon,2026-03-01
Virginia,VA,2.818,3.3,3.672,3.687,U.S Dollar,US Gallon,2026-03-01
Vermont,VT,3.013,3.567,3.993,4.128,U.S Dollar,US Gallon,2026-03-01
Washington,WA,4.366,4.613,4.859,4.887,U.S Dollar,US Gallon,2026-03-01
Wisconsin,WI,2.757,3.219,3.846,3.668,U.S Dollar,US Gallon,2026-03-01
West Virginia,WV,2.841,3.257,3.711,3.718,U.S Dollar,US Gallon,2026-03-01
Wyoming,WY,2.731,3.043,3.358,3.547,U.S Dollar,US Gallon,2026-03-01
