State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.538,3.807,4.038,3.825,U.S Dollar,US Gallon,2026-01-06
Alabama,AL,2.523,2.964,3.363,3.308,U.S Dollar,US Gallon,2026-01-06
Arkansas,AR,2.39,2.848,3.231,3.223,U.S Dollar,US Gallon,2026-01-06
Arizona,AZ,3.018,3.385,3.697,3.446,U.S Dollar,US Gallon,2026-01-06
California,CA,4.254,4.489,4.674,4.901,U.S Dollar,US Gallon,2026-01-06
Colorado,CO,2.389,2.773,3.1,3.047,U.S Dollar,US Gallon,2026-01-06
Connecticut,CT,2.908,3.563,3.96,3.783,U.S Dollar,US Gallon,2026-01-06
District of Columbia,DC,3.164,3.743,4.112,3.858,U.S Dollar,US Gallon,2026-01-06
Delaware,DE,2.842,3.404,3.697,3.587,U.S Dollar,US Gallon,2026-01-06
Florida,FL,2.79,3.246,3.572,3.492,U.S Dollar,US Gallon,2026-01-06
Georgia,GA,2.645,3.1,3.514,3.466,U.S Dollar,US Gallon,2026-01-06
Hawaii,HI,4.423,4.643,4.888,5.194,U.S Dollar,US Gallon,2026-01-06
Iowa,IA,2.346,2.662,3.179,3.255,U.S Dollar,US Gallon,2026-01-06
Idaho,ID,2.8,3.104,3.35,3.285,U.S Dollar,US Gallon,2026-01-06
Illinois,IL,2.925,3.51,3.971,3.614,U.S Dollar,US Gallon,2026-01-06
Indiana,IN,2.752,3.32,3.808,3.703,U.S Dollar,US Gallon,2026-01-06
Kansas,KS,2.425,2.767,3.134,3.22,U.S Dollar,US Gallon,2026-01-06
Kentucky,KY,2.557,3.13,3.543,3.339,U.S Dollar,US Gallon,2026-01-06
Louisiana,LA,2.453,2.892,3.278,3.158,U.S Dollar,US Gallon,2026-01-06
Massachusetts,MA,2.939,3.582,3.952,3.819,U.S Dollar,US Gallon,2026-01-06
Maryland,MD,2.881,3.459,3.77,3.607,U.S Dollar,US Gallon,2026-01-06
Maine,ME,2.928,3.493,3.948,3.981,U.S Dollar,US Gallon,2026-01-06
Michigan,MI,2.765,3.371,3.932,3.534,U.S Dollar,US Gallon,2026-01-06
Minnesota,MN,2.608,3.083,3.56,3.55,U.S Dollar,US Gallon,2026-01-06
Missouri,MO,2.449,2.844,3.152,3.176,U.S Dollar,US Gallon,2026-01-06
Mississippi,MS,2.445,2.889,3.251,3.166,U.S Dollar,US Gallon,2026-01-06
Montana,MT,2.776,3.081,3.418,3.195,U.S Dollar,US Gallon,2026-01-06
North Carolina,NC,2.666,3.148,3.537,3.392,U.S Dollar,US Gallon,2026-01-06
North Dakota,ND,2.541,2.858,3.223,3.422,U.S Dollar,US Gallon,2026-01-06
Nebraska,NE,2.467,2.697,3.192,3.113,U.S Dollar,US Gallon,2026-01-06
New Hampshire,NH,2.865,3.492,3.911,3.822,U.S Dollar,US Gallon,2026-01-06
New Jersey,NJ,2.812,3.413,3.682,3.683,U.S Dollar,US Gallon,2026-01-06
New Mexico,NM,2.643,3.101,3.399,3.319,U.S Dollar,US Gallon,2026-01-06
Nevada,NV,3.37,3.673,3.951,3.632,U.S Dollar,US Gallon,2026-01-06
New York,NY,3.025,3.566,3.937,3.876,U.S Dollar,US Gallon,2026-01-06
Ohio,OH,2.697,3.248,3.763,3.505,U.S Dollar,US Gallon,2026-01-06
Oklahoma,OK,2.238,2.665,2.969,2.894,U.S Dollar,US Gallon,2026-01-06
Oregon,OR,3.389,3.633,3.906,4.037,U.S Dollar,US Gallon,2026-01-06
Pennsylvania,PA,3.038,3.507,3.879,3.98,U.S Dollar,US Gallon,2026-01-06
Rhode Island,RI,2.865,3.623,4.045,3.789,U.S Dollar,US Gallon,2026-01-06
South Carolina,SC,2.528,2.999,3.375,3.229,U.S Dollar,US Gallon,2026-01-06
South Dakota,SD,2.554,2.729,3.221,3.139,U.S Dollar,US Gallon,2026-01-06
Tennessee,TN,2.487,2.975,3.35,3.292,U.S Dollar,US Gallon,2026-01-06
Texas,TX,2.389,2.858,3.226,3.064,U.S Dollar,US Gallon,2026-01-06
Utah,UT,2.641,2.923,3.16,3.197,U.S Dollar,US Gallon,2026-01-06
Virginia,VA,2.733,3.23,3.602,3.546,U.S Dollar,US Gallon,2026-01-06
Vermont,VT,3.037,3.584,4.008,3.852,U.S Dollar,US Gallon,2026-01-06
Washington,WA,3.821,4.106,4.353,4.653,U.S Dollar,US Gallon,2026-01-06
Wisconsin,WI,2.413,2.952,3.512,3.34,U.S Dollar,US Gallon,2026-01-06
West Virginia,WV,2.789,3.219,3.656,3.569,U.S Dollar,US Gallon,2026-01-06
Wyoming,WY,2.518,2.816,3.096,3.2,U.S Dollar,US Gallon,2026-01-06
