State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.653,3.855,4.05,3.676,U.S Dollar,US Gallon,2025-06-03
Alabama,AL,2.729,3.163,3.558,3.267,U.S Dollar,US Gallon,2025-06-03
Arkansas,AR,2.777,3.223,3.599,3.172,U.S Dollar,US Gallon,2025-06-03
Arizona,AZ,3.309,3.647,3.96,3.423,U.S Dollar,US Gallon,2025-06-03
California,CA,4.76,4.974,5.15,5.072,U.S Dollar,US Gallon,2025-06-03
Colorado,CO,3.099,3.482,3.802,3.308,U.S Dollar,US Gallon,2025-06-03
Connecticut,CT,3.093,3.676,4.046,3.729,U.S Dollar,US Gallon,2025-06-03
District of Columbia,DC,3.195,3.792,4.173,3.736,U.S Dollar,US Gallon,2025-06-03
Delaware,DE,2.939,3.507,3.8,3.53,U.S Dollar,US Gallon,2025-06-03
Florida,FL,3.048,3.492,3.812,3.372,U.S Dollar,US Gallon,2025-06-03
Georgia,GA,2.878,3.314,3.715,3.419,U.S Dollar,US Gallon,2025-06-03
Hawaii,HI,4.482,4.702,4.963,5.233,U.S Dollar,US Gallon,2025-06-03
Iowa,IA,2.921,3.201,3.691,3.298,U.S Dollar,US Gallon,2025-06-03
Idaho,ID,3.327,3.569,3.825,3.528,U.S Dollar,US Gallon,2025-06-03
Illinois,IL,3.364,3.925,4.395,3.513,U.S Dollar,US Gallon,2025-06-03
Indiana,IN,3.061,3.604,4.103,3.534,U.S Dollar,US Gallon,2025-06-03
Kansas,KS,2.883,3.224,3.551,3.259,U.S Dollar,US Gallon,2025-06-03
Kentucky,KY,2.832,3.358,3.789,3.205,U.S Dollar,US Gallon,2025-06-03
Louisiana,LA,2.713,3.153,3.531,3.138,U.S Dollar,US Gallon,2025-06-03
Massachusetts,MA,3.005,3.601,3.973,3.763,U.S Dollar,US Gallon,2025-06-03
Maryland,MD,3.035,3.648,3.955,3.59,U.S Dollar,US Gallon,2025-06-03
Maine,ME,3.033,3.594,4.038,3.791,U.S Dollar,US Gallon,2025-06-03
Michigan,MI,3.15,3.692,4.238,3.423,U.S Dollar,US Gallon,2025-06-03
Minnesota,MN,2.961,3.356,3.794,3.397,U.S Dollar,US Gallon,2025-06-03
Missouri,MO,2.838,3.19,3.513,3.176,U.S Dollar,US Gallon,2025-06-03
Mississippi,MS,2.645,3.099,3.455,3.112,U.S Dollar,US Gallon,2025-06-03
Montana,MT,3.203,3.511,3.835,3.453,U.S Dollar,US Gallon,2025-06-03
North Carolina,NC,2.811,3.256,3.647,3.335,U.S Dollar,US Gallon,2025-06-03
North Dakota,ND,2.926,3.255,3.656,3.318,U.S Dollar,US Gallon,2025-06-03
Nebraska,NE,2.967,3.182,3.691,3.253,U.S Dollar,US Gallon,2025-06-03
New Hampshire,NH,2.897,3.477,3.895,3.713,U.S Dollar,US Gallon,2025-06-03
New Jersey,NJ,3.012,3.562,3.805,3.499,U.S Dollar,US Gallon,2025-06-03
New Mexico,NM,2.916,3.314,3.621,3.277,U.S Dollar,US Gallon,2025-06-03
Nevada,NV,3.863,4.161,4.425,3.732,U.S Dollar,US Gallon,2025-06-03
New York,NY,3.118,3.631,4.016,3.87,U.S Dollar,US Gallon,2025-06-03
Ohio,OH,2.954,3.511,4.018,3.432,U.S Dollar,US Gallon,2025-06-03
Oklahoma,OK,2.774,3.173,3.465,3.063,U.S Dollar,US Gallon,2025-06-03
Oregon,OR,3.989,4.217,4.467,4.136,U.S Dollar,US Gallon,2025-06-03
Pennsylvania,PA,3.241,3.682,4.043,3.927,U.S Dollar,US Gallon,2025-06-03
Rhode Island,RI,2.981,3.688,4.062,3.753,U.S Dollar,US Gallon,2025-06-03
South Carolina,SC,2.766,3.206,3.58,3.21,U.S Dollar,US Gallon,2025-06-03
South Dakota,SD,2.963,3.163,3.63,3.193,U.S Dollar,US Gallon,2025-06-03
Tennessee,TN,2.727,3.179,3.576,3.239,U.S Dollar,US Gallon,2025-06-03
Texas,TX,2.711,3.16,3.515,3.023,U.S Dollar,US Gallon,2025-06-03
Utah,UT,3.306,3.569,3.794,3.447,U.S Dollar,US Gallon,2025-06-03
Virginia,VA,2.945,3.409,3.791,3.486,U.S Dollar,US Gallon,2025-06-03
Vermont,VT,3.081,3.649,4.072,3.784,U.S Dollar,US Gallon,2025-06-03
Washington,WA,4.394,4.638,4.879,4.668,U.S Dollar,US Gallon,2025-06-03
Wisconsin,WI,2.967,3.478,3.976,3.225,U.S Dollar,US Gallon,2025-06-03
West Virginia,WV,3.027,3.458,3.893,3.487,U.S Dollar,US Gallon,2025-06-03
Wyoming,WY,3.128,3.411,3.693,3.411,U.S Dollar,US Gallon,2025-06-03
