State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.983,4.213,4.462,4.764,U.S Dollar,US Gallon,2026-03-13
Alabama,AL,3.277,3.733,4.14,4.788,U.S Dollar,US Gallon,2026-03-13
Arkansas,AR,3.141,3.577,3.96,4.449,U.S Dollar,US Gallon,2026-03-13
Arizona,AZ,4.108,4.487,4.804,4.923,U.S Dollar,US Gallon,2026-03-13
California,CA,5.416,5.635,5.82,6.268,U.S Dollar,US Gallon,2026-03-13
Colorado,CO,3.683,4.09,4.422,4.639,U.S Dollar,US Gallon,2026-03-13
Connecticut,CT,3.524,4.059,4.455,5.037,U.S Dollar,US Gallon,2026-03-13
District of Columbia,DC,3.702,4.296,4.652,5.013,U.S Dollar,US Gallon,2026-03-13
Delaware,DE,3.382,3.966,4.262,4.924,U.S Dollar,US Gallon,2026-03-13
Florida,FL,3.716,4.154,4.478,5.079,U.S Dollar,US Gallon,2026-03-13
Georgia,GA,3.466,3.926,4.341,5.009,U.S Dollar,US Gallon,2026-03-13
Hawaii,HI,4.848,5.001,5.243,5.764,U.S Dollar,US Gallon,2026-03-13
Iowa,IA,3.317,3.494,4.175,4.436,U.S Dollar,US Gallon,2026-03-13
Idaho,ID,3.598,3.864,4.12,4.735,U.S Dollar,US Gallon,2026-03-13
Illinois,IL,3.68,4.226,4.707,4.806,U.S Dollar,US Gallon,2026-03-13
Indiana,IN,3.478,4.008,4.5,4.871,U.S Dollar,US Gallon,2026-03-13
Kansas,KS,3.079,3.413,3.757,4.232,U.S Dollar,US Gallon,2026-03-13
Kentucky,KY,3.214,3.751,4.184,4.583,U.S Dollar,US Gallon,2026-03-13
Louisiana,LA,3.265,3.707,4.078,4.577,U.S Dollar,US Gallon,2026-03-13
Massachusetts,MA,3.466,4.038,4.404,4.953,U.S Dollar,US Gallon,2026-03-13
Maryland,MD,3.533,4.111,4.417,4.995,U.S Dollar,US Gallon,2026-03-13
Maine,ME,3.494,4.033,4.504,5.041,U.S Dollar,US Gallon,2026-03-13
Michigan,MI,3.59,4.162,4.725,4.849,U.S Dollar,US Gallon,2026-03-13
Minnesota,MN,3.377,3.809,4.32,4.522,U.S Dollar,US Gallon,2026-03-13
Missouri,MO,3.158,3.533,3.859,4.278,U.S Dollar,US Gallon,2026-03-13
Mississippi,MS,3.199,3.638,4.02,4.571,U.S Dollar,US Gallon,2026-03-13
Montana,MT,3.272,3.588,3.913,4.146,U.S Dollar,US Gallon,2026-03-13
North Carolina,NC,3.443,3.889,4.277,4.9,U.S Dollar,US Gallon,2026-03-13
North Dakota,ND,3.123,3.473,3.829,4.255,U.S Dollar,US Gallon,2026-03-13
Nebraska,NE,3.272,3.416,3.902,4.33,U.S Dollar,US Gallon,2026-03-13
New Hampshire,NH,3.463,3.998,4.439,4.957,U.S Dollar,US Gallon,2026-03-13
New Jersey,NJ,3.53,4.033,4.302,4.956,U.S Dollar,US Gallon,2026-03-13
New Mexico,NM,3.639,4.103,4.423,4.801,U.S Dollar,US Gallon,2026-03-13
Nevada,NV,4.448,4.739,4.99,4.944,U.S Dollar,US Gallon,2026-03-13
New York,NY,3.538,4.027,4.41,5.024,U.S Dollar,US Gallon,2026-03-13
Ohio,OH,3.421,3.942,4.45,4.859,U.S Dollar,US Gallon,2026-03-13
Oklahoma,OK,3.144,3.585,3.867,4.186,U.S Dollar,US Gallon,2026-03-13
Oregon,OR,4.332,4.577,4.838,5.18,U.S Dollar,US Gallon,2026-03-13
Pennsylvania,PA,3.672,4.101,4.475,5.137,U.S Dollar,US Gallon,2026-03-13
Rhode Island,RI,3.455,4.141,4.577,4.966,U.S Dollar,US Gallon,2026-03-13
South Carolina,SC,3.352,3.8,4.194,4.848,U.S Dollar,US Gallon,2026-03-13
South Dakota,SD,3.217,3.365,3.863,4.169,U.S Dollar,US Gallon,2026-03-13
Tennessee,TN,3.248,3.708,4.099,4.823,U.S Dollar,US Gallon,2026-03-13
Texas,TX,3.288,3.79,4.156,4.584,U.S Dollar,US Gallon,2026-03-13
Utah,UT,3.532,3.817,4.061,4.725,U.S Dollar,US Gallon,2026-03-13
Virginia,VA,3.406,3.856,4.23,4.904,U.S Dollar,US Gallon,2026-03-13
Vermont,VT,3.526,4.029,4.454,5.084,U.S Dollar,US Gallon,2026-03-13
Washington,WA,4.76,5.019,5.259,5.799,U.S Dollar,US Gallon,2026-03-13
Wisconsin,WI,3.322,3.754,4.404,4.609,U.S Dollar,US Gallon,2026-03-13
West Virginia,WV,3.437,3.877,4.316,4.857,U.S Dollar,US Gallon,2026-03-13
Wyoming,WY,3.359,3.671,3.963,4.463,U.S Dollar,US Gallon,2026-03-13
