State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.737,4.955,5.176,5.309,U.S Dollar,US Gallon,2026-07-27
Alabama,AL,3.778,4.229,4.637,5.116,U.S Dollar,US Gallon,2026-07-27
Arkansas,AR,3.797,4.254,4.628,4.941,U.S Dollar,US Gallon,2026-07-27
Arizona,AZ,4.406,4.786,5.108,5.469,U.S Dollar,US Gallon,2026-07-27
California,CA,5.648,5.865,6.064,6.873,U.S Dollar,US Gallon,2026-07-27
Colorado,CO,4.08,4.476,4.815,5.043,U.S Dollar,US Gallon,2026-07-27
Connecticut,CT,4.21,4.768,5.174,5.496,U.S Dollar,US Gallon,2026-07-27
District of Columbia,DC,4.23,4.874,5.154,5.56,U.S Dollar,US Gallon,2026-07-27
Delaware,DE,4.165,4.708,5.002,5.362,U.S Dollar,US Gallon,2026-07-27
Florida,FL,3.969,4.419,4.751,5.436,U.S Dollar,US Gallon,2026-07-27
Georgia,GA,3.921,4.379,4.804,5.265,U.S Dollar,US Gallon,2026-07-27
Hawaii,HI,5.427,5.674,5.928,6.945,U.S Dollar,US Gallon,2026-07-27
Iowa,IA,3.766,4.087,4.615,5.023,U.S Dollar,US Gallon,2026-07-27
Idaho,ID,4.241,4.517,4.819,5.152,U.S Dollar,US Gallon,2026-07-27
Illinois,IL,4.257,4.828,5.348,5.177,U.S Dollar,US Gallon,2026-07-27
Indiana,IN,3.494,4.056,4.572,5.257,U.S Dollar,US Gallon,2026-07-27
Kansas,KS,3.752,4.09,4.437,4.845,U.S Dollar,US Gallon,2026-07-27
Kentucky,KY,3.74,4.269,4.689,4.877,U.S Dollar,US Gallon,2026-07-27
Louisiana,LA,3.699,4.14,4.532,4.993,U.S Dollar,US Gallon,2026-07-27
Massachusetts,MA,4.134,4.739,5.134,5.448,U.S Dollar,US Gallon,2026-07-27
Maryland,MD,4.177,4.772,5.093,5.431,U.S Dollar,US Gallon,2026-07-27
Maine,ME,4.104,4.64,5.127,5.506,U.S Dollar,US Gallon,2026-07-27
Michigan,MI,4.219,4.829,5.418,5.223,U.S Dollar,US Gallon,2026-07-27
Minnesota,MN,4.037,4.476,4.966,5.136,U.S Dollar,US Gallon,2026-07-27
Missouri,MO,3.85,4.219,4.568,4.822,U.S Dollar,US Gallon,2026-07-27
Mississippi,MS,3.669,4.109,4.502,4.992,U.S Dollar,US Gallon,2026-07-27
Montana,MT,4.297,4.622,4.968,5.025,U.S Dollar,US Gallon,2026-07-27
North Carolina,NC,3.803,4.245,4.649,5.275,U.S Dollar,US Gallon,2026-07-27
North Dakota,ND,3.908,4.277,4.658,4.909,U.S Dollar,US Gallon,2026-07-27
Nebraska,NE,3.964,4.184,4.719,4.934,U.S Dollar,US Gallon,2026-07-27
New Hampshire,NH,4.068,4.605,5.07,5.381,U.S Dollar,US Gallon,2026-07-27
New Jersey,NJ,4.187,4.734,5.025,5.444,U.S Dollar,US Gallon,2026-07-27
New Mexico,NM,3.977,4.395,4.715,5.095,U.S Dollar,US Gallon,2026-07-27
Nevada,NV,4.79,5.079,5.393,5.66,U.S Dollar,US Gallon,2026-07-27
New York,NY,4.231,4.752,5.146,5.585,U.S Dollar,US Gallon,2026-07-27
Ohio,OH,3.88,4.405,4.931,5.007,U.S Dollar,US Gallon,2026-07-27
Oklahoma,OK,3.771,4.166,4.487,4.74,U.S Dollar,US Gallon,2026-07-27
Oregon,OR,4.634,4.873,5.18,5.464,U.S Dollar,US Gallon,2026-07-27
Pennsylvania,PA,4.232,4.674,5.059,5.576,U.S Dollar,US Gallon,2026-07-27
Rhode Island,RI,4.132,4.843,5.226,5.361,U.S Dollar,US Gallon,2026-07-27
South Carolina,SC,3.769,4.21,4.618,5.182,U.S Dollar,US Gallon,2026-07-27
South Dakota,SD,4.021,4.238,4.737,4.91,U.S Dollar,US Gallon,2026-07-27
Tennessee,TN,3.705,4.148,4.55,4.987,U.S Dollar,US Gallon,2026-07-27
Texas,TX,3.689,4.174,4.545,4.926,U.S Dollar,US Gallon,2026-07-27
Utah,UT,4.144,4.433,4.686,5.097,U.S Dollar,US Gallon,2026-07-27
Virginia,VA,3.98,4.459,4.846,5.296,U.S Dollar,US Gallon,2026-07-27
Vermont,VT,4.215,4.75,5.213,5.435,U.S Dollar,US Gallon,2026-07-27
Washington,WA,5.107,5.37,5.635,6.097,U.S Dollar,US Gallon,2026-07-27
Wisconsin,WI,3.884,4.444,5.045,5.055,U.S Dollar,US Gallon,2026-07-27
West Virginia,WV,3.881,4.303,4.76,4.94,U.S Dollar,US Gallon,2026-07-27
Wyoming,WY,4.143,4.452,4.736,5.01,U.S Dollar,US Gallon,2026-07-27
