State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.491,3.73,3.975,3.609,U.S Dollar,US Gallon,2024-11-24
Alabama,AL,2.761,3.198,3.595,3.337,U.S Dollar,US Gallon,2024-11-24
Arkansas,AR,2.658,3.068,3.45,3.193,U.S Dollar,US Gallon,2024-11-24
Arizona,AZ,3.217,3.548,3.867,3.517,U.S Dollar,US Gallon,2024-11-24
California,CA,4.445,4.667,4.846,4.883,U.S Dollar,US Gallon,2024-11-24
Colorado,CO,2.905,3.288,3.604,3.346,U.S Dollar,US Gallon,2024-11-24
Connecticut,CT,3.063,3.688,4.041,3.676,U.S Dollar,US Gallon,2024-11-24
District of Columbia,DC,3.231,3.822,4.185,3.701,U.S Dollar,US Gallon,2024-11-24
Delaware,DE,3.046,3.595,3.9,3.543,U.S Dollar,US Gallon,2024-11-24
Florida,FL,3.12,3.57,3.883,3.486,U.S Dollar,US Gallon,2024-11-24
Georgia,GA,2.932,3.372,3.772,3.468,U.S Dollar,US Gallon,2024-11-24
Hawaii,HI,4.57,4.802,5.051,5.317,U.S Dollar,US Gallon,2024-11-24
Iowa,IA,2.755,3.084,3.527,3.309,U.S Dollar,US Gallon,2024-11-24
Idaho,ID,3.112,3.357,3.587,3.511,U.S Dollar,US Gallon,2024-11-24
Illinois,IL,3.181,3.754,4.2,3.595,U.S Dollar,US Gallon,2024-11-24
Indiana,IN,2.913,3.463,3.973,3.662,U.S Dollar,US Gallon,2024-11-24
Kansas,KS,2.712,3.036,3.342,3.227,U.S Dollar,US Gallon,2024-11-24
Kentucky,KY,2.761,3.277,3.694,3.313,U.S Dollar,US Gallon,2024-11-24
Louisiana,LA,2.716,3.14,3.526,3.206,U.S Dollar,US Gallon,2024-11-24
Massachusetts,MA,3.028,3.613,3.971,3.693,U.S Dollar,US Gallon,2024-11-24
Maryland,MD,3.122,3.738,4.054,3.602,U.S Dollar,US Gallon,2024-11-24
Maine,ME,3.074,3.594,4.046,3.77,U.S Dollar,US Gallon,2024-11-24
Michigan,MI,3.005,3.577,4.134,3.621,U.S Dollar,US Gallon,2024-11-24
Minnesota,MN,2.853,3.282,3.712,3.417,U.S Dollar,US Gallon,2024-11-24
Missouri,MO,2.717,3.088,3.377,3.16,U.S Dollar,US Gallon,2024-11-24
Mississippi,MS,2.631,3.051,3.427,3.148,U.S Dollar,US Gallon,2024-11-24
Montana,MT,2.978,3.26,3.572,3.411,U.S Dollar,US Gallon,2024-11-24
North Carolina,NC,2.859,3.302,3.684,3.416,U.S Dollar,US Gallon,2024-11-24
North Dakota,ND,2.88,3.186,3.538,3.499,U.S Dollar,US Gallon,2024-11-24
Nebraska,NE,2.757,2.972,3.401,3.208,U.S Dollar,US Gallon,2024-11-24
New Hampshire,NH,2.972,3.529,3.943,3.711,U.S Dollar,US Gallon,2024-11-24
New Jersey,NJ,2.982,3.547,3.799,3.446,U.S Dollar,US Gallon,2024-11-24
New Mexico,NM,2.87,3.269,3.57,3.354,U.S Dollar,US Gallon,2024-11-24
Nevada,NV,3.707,3.998,4.237,3.699,U.S Dollar,US Gallon,2024-11-24
New York,NY,3.155,3.656,4.044,3.869,U.S Dollar,US Gallon,2024-11-24
Ohio,OH,2.849,3.392,3.919,3.517,U.S Dollar,US Gallon,2024-11-24
Oklahoma,OK,2.532,2.888,3.147,2.999,U.S Dollar,US Gallon,2024-11-24
Oregon,OR,3.548,3.785,4.024,3.856,U.S Dollar,US Gallon,2024-11-24
Pennsylvania,PA,3.247,3.68,4.026,3.978,U.S Dollar,US Gallon,2024-11-24
Rhode Island,RI,2.939,3.627,3.971,3.705,U.S Dollar,US Gallon,2024-11-24
South Carolina,SC,2.78,3.207,3.584,3.306,U.S Dollar,US Gallon,2024-11-24
South Dakota,SD,2.853,3.069,3.499,3.248,U.S Dollar,US Gallon,2024-11-24
Tennessee,TN,2.718,3.149,3.532,3.295,U.S Dollar,US Gallon,2024-11-24
Texas,TX,2.646,3.086,3.444,3.053,U.S Dollar,US Gallon,2024-11-24
Utah,UT,3.067,3.308,3.537,3.357,U.S Dollar,US Gallon,2024-11-24
Virginia,VA,2.962,3.429,3.793,3.485,U.S Dollar,US Gallon,2024-11-24
Vermont,VT,3.116,3.654,4.064,3.578,U.S Dollar,US Gallon,2024-11-24
Washington,WA,3.986,4.236,4.466,4.373,U.S Dollar,US Gallon,2024-11-24
Wisconsin,WI,2.862,3.366,3.856,3.368,U.S Dollar,US Gallon,2024-11-24
West Virginia,WV,2.94,3.35,3.802,3.579,U.S Dollar,US Gallon,2024-11-24
Wyoming,WY,3.026,3.294,3.601,3.449,U.S Dollar,US Gallon,2024-11-24
