State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.777,5.038,5.222,5.335,U.S Dollar,US Gallon,2026-07-03
Alabama,AL,3.457,3.929,4.343,4.492,U.S Dollar,US Gallon,2026-07-03
Arkansas,AR,3.421,3.905,4.261,4.339,U.S Dollar,US Gallon,2026-07-03
Arizona,AZ,3.954,4.311,4.639,4.916,U.S Dollar,US Gallon,2026-07-03
California,CA,5.389,5.628,5.812,6.511,U.S Dollar,US Gallon,2026-07-03
Colorado,CO,3.704,4.092,4.428,4.248,U.S Dollar,US Gallon,2026-07-03
Connecticut,CT,3.917,4.558,4.941,5.21,U.S Dollar,US Gallon,2026-07-03
District of Columbia,DC,4.078,4.763,5.176,5.522,U.S Dollar,US Gallon,2026-07-03
Delaware,DE,3.663,4.267,4.569,4.703,U.S Dollar,US Gallon,2026-07-03
Florida,FL,3.813,4.293,4.622,4.552,U.S Dollar,US Gallon,2026-07-03
Georgia,GA,3.561,4.032,4.459,4.627,U.S Dollar,US Gallon,2026-07-03
Hawaii,HI,5.473,5.721,5.947,7.003,U.S Dollar,US Gallon,2026-07-03
Iowa,IA,3.529,3.793,4.41,4.316,U.S Dollar,US Gallon,2026-07-03
Idaho,ID,4.052,4.369,4.651,4.676,U.S Dollar,US Gallon,2026-07-03
Illinois,IL,4.041,4.63,5.152,4.973,U.S Dollar,US Gallon,2026-07-03
Indiana,IN,3.097,3.685,4.21,4.973,U.S Dollar,US Gallon,2026-07-03
Kansas,KS,3.488,3.842,4.197,4.296,U.S Dollar,US Gallon,2026-07-03
Kentucky,KY,3.433,3.982,4.428,4.523,U.S Dollar,US Gallon,2026-07-03
Louisiana,LA,3.452,3.935,4.324,4.372,U.S Dollar,US Gallon,2026-07-03
Massachusetts,MA,3.887,4.551,4.946,5.187,U.S Dollar,US Gallon,2026-07-03
Maryland,MD,3.717,4.329,4.632,4.769,U.S Dollar,US Gallon,2026-07-03
Maine,ME,3.865,4.439,4.925,5.223,U.S Dollar,US Gallon,2026-07-03
Michigan,MI,4.006,4.658,5.244,5.037,U.S Dollar,US Gallon,2026-07-03
Minnesota,MN,3.631,4.076,4.569,4.563,U.S Dollar,US Gallon,2026-07-03
Missouri,MO,3.462,3.859,4.195,4.332,U.S Dollar,US Gallon,2026-07-03
Mississippi,MS,3.439,3.89,4.274,4.363,U.S Dollar,US Gallon,2026-07-03
Montana,MT,3.909,4.236,4.581,4.309,U.S Dollar,US Gallon,2026-07-03
North Carolina,NC,3.531,4.012,4.408,4.604,U.S Dollar,US Gallon,2026-07-03
North Dakota,ND,3.618,4.032,4.425,4.336,U.S Dollar,US Gallon,2026-07-03
Nebraska,NE,3.575,3.8,4.259,4.254,U.S Dollar,US Gallon,2026-07-03
New Hampshire,NH,3.85,4.45,4.899,5.142,U.S Dollar,US Gallon,2026-07-03
New Jersey,NJ,3.832,4.461,4.744,4.884,U.S Dollar,US Gallon,2026-07-03
New Mexico,NM,3.759,4.18,4.489,4.663,U.S Dollar,US Gallon,2026-07-03
Nevada,NV,4.588,4.92,5.208,5.324,U.S Dollar,US Gallon,2026-07-03
New York,NY,4.076,4.617,4.99,5.423,U.S Dollar,US Gallon,2026-07-03
Ohio,OH,3.664,4.201,4.726,4.875,U.S Dollar,US Gallon,2026-07-03
Oklahoma,OK,3.358,3.779,4.084,4.063,U.S Dollar,US Gallon,2026-07-03
Oregon,OR,4.605,4.883,5.167,5.407,U.S Dollar,US Gallon,2026-07-03
Pennsylvania,PA,3.969,4.434,4.824,5.369,U.S Dollar,US Gallon,2026-07-03
Rhode Island,RI,3.767,4.494,4.929,4.942,U.S Dollar,US Gallon,2026-07-03
South Carolina,SC,3.485,3.974,4.368,4.513,U.S Dollar,US Gallon,2026-07-03
South Dakota,SD,3.689,3.919,4.4,4.209,U.S Dollar,US Gallon,2026-07-03
Tennessee,TN,3.402,3.885,4.299,4.476,U.S Dollar,US Gallon,2026-07-03
Texas,TX,3.345,3.848,4.22,4.253,U.S Dollar,US Gallon,2026-07-03
Utah,UT,3.856,4.134,4.384,4.629,U.S Dollar,US Gallon,2026-07-03
Virginia,VA,3.648,4.172,4.552,4.778,U.S Dollar,US Gallon,2026-07-03
Vermont,VT,3.983,4.608,5.009,5.153,U.S Dollar,US Gallon,2026-07-03
Washington,WA,5.074,5.376,5.641,5.951,U.S Dollar,US Gallon,2026-07-03
Wisconsin,WI,3.593,4.158,4.739,4.635,U.S Dollar,US Gallon,2026-07-03
West Virginia,WV,3.726,4.134,4.585,4.785,U.S Dollar,US Gallon,2026-07-03
Wyoming,WY,3.877,4.166,4.459,4.607,U.S Dollar,US Gallon,2026-07-03
