State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.551,3.814,4.038,3.837,U.S Dollar,US Gallon,2026-02-22
Alabama,AL,2.621,3.077,3.475,3.413,U.S Dollar,US Gallon,2026-02-22
Arkansas,AR,2.45,2.912,3.284,3.327,U.S Dollar,US Gallon,2026-02-22
Arizona,AZ,3.212,3.6,3.917,3.53,U.S Dollar,US Gallon,2026-02-22
California,CA,4.617,4.846,5.033,5.072,U.S Dollar,US Gallon,2026-02-22
Colorado,CO,2.684,3.07,3.397,3.385,U.S Dollar,US Gallon,2026-02-22
Connecticut,CT,2.905,3.554,3.947,3.965,U.S Dollar,US Gallon,2026-02-22
District of Columbia,DC,3.104,3.724,4.147,4.0,U.S Dollar,US Gallon,2026-02-22
Delaware,DE,2.943,3.521,3.811,3.937,U.S Dollar,US Gallon,2026-02-22
Florida,FL,2.883,3.351,3.679,3.612,U.S Dollar,US Gallon,2026-02-22
Georgia,GA,2.697,3.163,3.571,3.549,U.S Dollar,US Gallon,2026-02-22
Hawaii,HI,4.394,4.601,4.851,5.193,U.S Dollar,US Gallon,2026-02-22
Iowa,IA,2.56,2.79,3.443,3.51,U.S Dollar,US Gallon,2026-02-22
Idaho,ID,2.972,3.248,3.533,3.673,U.S Dollar,US Gallon,2026-02-22
Illinois,IL,2.954,3.542,4.005,3.793,U.S Dollar,US Gallon,2026-02-22
Indiana,IN,2.694,3.255,3.743,3.811,U.S Dollar,US Gallon,2026-02-22
Kansas,KS,2.464,2.814,3.15,3.352,U.S Dollar,US Gallon,2026-02-22
Kentucky,KY,2.585,3.15,3.568,3.399,U.S Dollar,US Gallon,2026-02-22
Louisiana,LA,2.511,2.932,3.341,3.239,U.S Dollar,US Gallon,2026-02-22
Massachusetts,MA,2.9,3.529,3.905,3.927,U.S Dollar,US Gallon,2026-02-22
Maryland,MD,2.975,3.575,3.885,3.929,U.S Dollar,US Gallon,2026-02-22
Maine,ME,2.907,3.455,3.921,4.335,U.S Dollar,US Gallon,2026-02-22
Michigan,MI,2.851,3.439,4.006,3.78,U.S Dollar,US Gallon,2026-02-22
Minnesota,MN,2.697,3.155,3.642,3.649,U.S Dollar,US Gallon,2026-02-22
Missouri,MO,2.511,2.905,3.218,3.34,U.S Dollar,US Gallon,2026-02-22
Mississippi,MS,2.49,2.939,3.316,3.253,U.S Dollar,US Gallon,2026-02-22
Montana,MT,2.754,3.06,3.391,3.313,U.S Dollar,US Gallon,2026-02-22
North Carolina,NC,2.713,3.176,3.566,3.512,U.S Dollar,US Gallon,2026-02-22
North Dakota,ND,2.554,2.91,3.216,3.533,U.S Dollar,US Gallon,2026-02-22
Nebraska,NE,2.558,2.769,3.275,3.38,U.S Dollar,US Gallon,2026-02-22
New Hampshire,NH,2.851,3.452,3.874,3.999,U.S Dollar,US Gallon,2026-02-22
New Jersey,NJ,2.925,3.513,3.764,3.912,U.S Dollar,US Gallon,2026-02-22
New Mexico,NM,2.561,2.975,3.288,3.368,U.S Dollar,US Gallon,2026-02-22
Nevada,NV,3.672,3.967,4.247,3.844,U.S Dollar,US Gallon,2026-02-22
New York,NY,3.0,3.531,3.914,3.99,U.S Dollar,US Gallon,2026-02-22
Ohio,OH,2.859,3.404,3.909,3.83,U.S Dollar,US Gallon,2026-02-22
Oklahoma,OK,2.348,2.76,3.059,3.213,U.S Dollar,US Gallon,2026-02-22
Oregon,OR,3.886,4.08,4.357,4.214,U.S Dollar,US Gallon,2026-02-22
Pennsylvania,PA,3.136,3.596,3.967,4.182,U.S Dollar,US Gallon,2026-02-22
Rhode Island,RI,2.87,3.628,4.017,3.942,U.S Dollar,US Gallon,2026-02-22
South Carolina,SC,2.621,3.075,3.471,3.434,U.S Dollar,US Gallon,2026-02-22
South Dakota,SD,2.628,2.807,3.276,3.403,U.S Dollar,US Gallon,2026-02-22
Tennessee,TN,2.555,3.03,3.43,3.394,U.S Dollar,US Gallon,2026-02-22
Texas,TX,2.542,3.04,3.409,3.221,U.S Dollar,US Gallon,2026-02-22
Utah,UT,2.762,3.045,3.288,3.66,U.S Dollar,US Gallon,2026-02-22
Virginia,VA,2.835,3.329,3.702,3.664,U.S Dollar,US Gallon,2026-02-22
Vermont,VT,3.004,3.542,3.972,4.109,U.S Dollar,US Gallon,2026-02-22
Washington,WA,4.317,4.551,4.795,4.851,U.S Dollar,US Gallon,2026-02-22
Wisconsin,WI,2.545,3.03,3.64,3.604,U.S Dollar,US Gallon,2026-02-22
West Virginia,WV,2.828,3.27,3.703,3.706,U.S Dollar,US Gallon,2026-02-22
Wyoming,WY,2.709,3.009,3.303,3.539,U.S Dollar,US Gallon,2026-02-22
