State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.688,3.927,4.172,3.712,U.S Dollar,US Gallon,2024-09-24
Alabama,AL,2.795,3.236,3.623,3.372,U.S Dollar,US Gallon,2024-09-24
Arkansas,AR,2.846,3.25,3.631,3.296,U.S Dollar,US Gallon,2024-09-24
Arizona,AZ,3.37,3.688,4.01,3.611,U.S Dollar,US Gallon,2024-09-24
California,CA,4.733,4.943,5.116,4.945,U.S Dollar,US Gallon,2024-09-24
Colorado,CO,3.508,3.891,4.21,3.487,U.S Dollar,US Gallon,2024-09-24
Connecticut,CT,3.134,3.764,4.122,3.725,U.S Dollar,US Gallon,2024-09-24
District of Columbia,DC,3.354,3.899,4.342,3.781,U.S Dollar,US Gallon,2024-09-24
Delaware,DE,2.973,3.538,3.842,3.288,U.S Dollar,US Gallon,2024-09-24
Florida,FL,3.137,3.566,3.894,3.431,U.S Dollar,US Gallon,2024-09-24
Georgia,GA,2.957,3.409,3.804,3.507,U.S Dollar,US Gallon,2024-09-24
Hawaii,HI,4.608,4.827,5.1,5.405,U.S Dollar,US Gallon,2024-09-24
Iowa,IA,3.037,3.352,3.783,3.343,U.S Dollar,US Gallon,2024-09-24
Idaho,ID,3.54,3.792,4.032,3.618,U.S Dollar,US Gallon,2024-09-24
Illinois,IL,3.444,4.033,4.463,3.668,U.S Dollar,US Gallon,2024-09-24
Indiana,IN,3.146,3.694,4.192,3.7,U.S Dollar,US Gallon,2024-09-24
Kansas,KS,2.908,3.224,3.523,3.306,U.S Dollar,US Gallon,2024-09-24
Kentucky,KY,2.877,3.407,3.818,3.322,U.S Dollar,US Gallon,2024-09-24
Louisiana,LA,2.787,3.203,3.582,3.242,U.S Dollar,US Gallon,2024-09-24
Massachusetts,MA,3.134,3.73,4.088,3.795,U.S Dollar,US Gallon,2024-09-24
Maryland,MD,3.07,3.687,4.007,3.442,U.S Dollar,US Gallon,2024-09-24
Maine,ME,3.136,3.645,4.129,3.816,U.S Dollar,US Gallon,2024-09-24
Michigan,MI,3.349,3.899,4.451,3.656,U.S Dollar,US Gallon,2024-09-24
Minnesota,MN,3.079,3.487,3.903,3.477,U.S Dollar,US Gallon,2024-09-24
Missouri,MO,2.879,3.21,3.522,3.234,U.S Dollar,US Gallon,2024-09-24
Mississippi,MS,2.715,3.127,3.503,3.211,U.S Dollar,US Gallon,2024-09-24
Montana,MT,3.318,3.622,3.915,3.632,U.S Dollar,US Gallon,2024-09-24
North Carolina,NC,2.922,3.371,3.762,3.49,U.S Dollar,US Gallon,2024-09-24
North Dakota,ND,3.141,3.455,3.793,3.514,U.S Dollar,US Gallon,2024-09-24
Nebraska,NE,3.031,3.25,3.692,3.314,U.S Dollar,US Gallon,2024-09-24
New Hampshire,NH,3.053,3.619,4.04,3.776,U.S Dollar,US Gallon,2024-09-24
New Jersey,NJ,3.032,3.643,3.908,3.438,U.S Dollar,US Gallon,2024-09-24
New Mexico,NM,3.051,3.445,3.747,3.391,U.S Dollar,US Gallon,2024-09-24
Nevada,NV,3.956,4.257,4.488,3.75,U.S Dollar,US Gallon,2024-09-24
New York,NY,3.298,3.807,4.195,3.999,U.S Dollar,US Gallon,2024-09-24
Ohio,OH,3.074,3.612,4.131,3.589,U.S Dollar,US Gallon,2024-09-24
Oklahoma,OK,2.801,3.141,3.407,3.143,U.S Dollar,US Gallon,2024-09-24
Oregon,OR,3.702,3.932,4.184,3.907,U.S Dollar,US Gallon,2024-09-24
Pennsylvania,PA,3.335,3.778,4.13,4.016,U.S Dollar,US Gallon,2024-09-24
Rhode Island,RI,3.017,3.698,4.034,3.759,U.S Dollar,US Gallon,2024-09-24
South Carolina,SC,2.828,3.255,3.618,3.328,U.S Dollar,US Gallon,2024-09-24
South Dakota,SD,3.083,3.283,3.717,3.299,U.S Dollar,US Gallon,2024-09-24
Tennessee,TN,2.782,3.205,3.59,3.317,U.S Dollar,US Gallon,2024-09-24
Texas,TX,2.78,3.218,3.565,3.077,U.S Dollar,US Gallon,2024-09-24
Utah,UT,3.574,3.821,4.029,3.554,U.S Dollar,US Gallon,2024-09-24
Virginia,VA,2.996,3.464,3.845,3.526,U.S Dollar,US Gallon,2024-09-24
Vermont,VT,3.235,3.789,4.189,3.637,U.S Dollar,US Gallon,2024-09-24
Washington,WA,4.101,4.365,4.585,4.389,U.S Dollar,US Gallon,2024-09-24
Wisconsin,WI,3.022,3.517,4.006,3.405,U.S Dollar,US Gallon,2024-09-24
West Virginia,WV,3.056,3.454,3.891,3.617,U.S Dollar,US Gallon,2024-09-24
Wyoming,WY,3.301,3.547,3.84,3.569,U.S Dollar,US Gallon,2024-09-24
