State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.649,3.826,4.065,3.668,U.S Dollar,US Gallon,2025-06-07
Alabama,AL,2.732,3.173,3.568,3.265,U.S Dollar,US Gallon,2025-06-07
Arkansas,AR,2.75,3.202,3.565,3.162,U.S Dollar,US Gallon,2025-06-07
Arizona,AZ,3.286,3.633,3.94,3.419,U.S Dollar,US Gallon,2025-06-07
California,CA,4.711,4.93,5.109,5.06,U.S Dollar,US Gallon,2025-06-07
Colorado,CO,3.041,3.423,3.749,3.275,U.S Dollar,US Gallon,2025-06-07
Connecticut,CT,3.086,3.679,4.043,3.72,U.S Dollar,US Gallon,2025-06-07
District of Columbia,DC,3.179,3.779,4.175,3.734,U.S Dollar,US Gallon,2025-06-07
Delaware,DE,2.888,3.459,3.727,3.469,U.S Dollar,US Gallon,2025-06-07
Florida,FL,3.106,3.56,3.875,3.397,U.S Dollar,US Gallon,2025-06-07
Georgia,GA,2.873,3.32,3.732,3.421,U.S Dollar,US Gallon,2025-06-07
Hawaii,HI,4.467,4.694,4.941,5.263,U.S Dollar,US Gallon,2025-06-07
Iowa,IA,2.923,3.206,3.708,3.311,U.S Dollar,US Gallon,2025-06-07
Idaho,ID,3.301,3.555,3.801,3.523,U.S Dollar,US Gallon,2025-06-07
Illinois,IL,3.358,3.922,4.388,3.511,U.S Dollar,US Gallon,2025-06-07
Indiana,IN,3.012,3.553,4.054,3.531,U.S Dollar,US Gallon,2025-06-07
Kansas,KS,2.876,3.212,3.544,3.251,U.S Dollar,US Gallon,2025-06-07
Kentucky,KY,2.812,3.35,3.767,3.218,U.S Dollar,US Gallon,2025-06-07
Louisiana,LA,2.721,3.165,3.547,3.126,U.S Dollar,US Gallon,2025-06-07
Massachusetts,MA,2.997,3.593,3.965,3.761,U.S Dollar,US Gallon,2025-06-07
Maryland,MD,2.997,3.585,3.879,3.555,U.S Dollar,US Gallon,2025-06-07
Maine,ME,3.011,3.556,4.01,3.783,U.S Dollar,US Gallon,2025-06-07
Michigan,MI,3.178,3.747,4.288,3.425,U.S Dollar,US Gallon,2025-06-07
Minnesota,MN,2.944,3.328,3.768,3.395,U.S Dollar,US Gallon,2025-06-07
Missouri,MO,2.833,3.196,3.51,3.17,U.S Dollar,US Gallon,2025-06-07
Mississippi,MS,2.64,3.086,3.447,3.104,U.S Dollar,US Gallon,2025-06-07
Montana,MT,3.197,3.508,3.825,3.447,U.S Dollar,US Gallon,2025-06-07
North Carolina,NC,2.807,3.255,3.64,3.342,U.S Dollar,US Gallon,2025-06-07
North Dakota,ND,2.919,3.262,3.627,3.302,U.S Dollar,US Gallon,2025-06-07
Nebraska,NE,2.953,3.174,3.66,3.245,U.S Dollar,US Gallon,2025-06-07
New Hampshire,NH,2.887,3.476,3.891,3.705,U.S Dollar,US Gallon,2025-06-07
New Jersey,NJ,2.99,3.545,3.797,3.495,U.S Dollar,US Gallon,2025-06-07
New Mexico,NM,2.846,3.232,3.531,3.238,U.S Dollar,US Gallon,2025-06-07
Nevada,NV,3.833,4.134,4.401,3.734,U.S Dollar,US Gallon,2025-06-07
New York,NY,3.107,3.626,4.009,3.87,U.S Dollar,US Gallon,2025-06-07
Ohio,OH,3.035,3.564,4.072,3.426,U.S Dollar,US Gallon,2025-06-07
Oklahoma,OK,2.729,3.116,3.407,3.045,U.S Dollar,US Gallon,2025-06-07
Oregon,OR,3.974,4.199,4.443,4.158,U.S Dollar,US Gallon,2025-06-07
Pennsylvania,PA,3.225,3.67,4.035,3.916,U.S Dollar,US Gallon,2025-06-07
Rhode Island,RI,2.972,3.713,4.103,3.762,U.S Dollar,US Gallon,2025-06-07
South Carolina,SC,2.752,3.198,3.572,3.223,U.S Dollar,US Gallon,2025-06-07
South Dakota,SD,2.944,3.141,3.621,3.166,U.S Dollar,US Gallon,2025-06-07
Tennessee,TN,2.712,3.162,3.565,3.234,U.S Dollar,US Gallon,2025-06-07
Texas,TX,2.742,3.206,3.56,3.015,U.S Dollar,US Gallon,2025-06-07
Utah,UT,3.281,3.546,3.769,3.428,U.S Dollar,US Gallon,2025-06-07
Virginia,VA,2.918,3.388,3.764,3.479,U.S Dollar,US Gallon,2025-06-07
Vermont,VT,3.071,3.633,4.069,3.77,U.S Dollar,US Gallon,2025-06-07
Washington,WA,4.368,4.643,4.864,4.684,U.S Dollar,US Gallon,2025-06-07
Wisconsin,WI,2.965,3.482,3.972,3.217,U.S Dollar,US Gallon,2025-06-07
West Virginia,WV,2.989,3.42,3.866,3.478,U.S Dollar,US Gallon,2025-06-07
Wyoming,WY,3.106,3.396,3.675,3.412,U.S Dollar,US Gallon,2025-06-07
