State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.72,3.922,4.129,3.846,U.S Dollar,US Gallon,2025-06-22
Alabama,AL,2.859,3.306,3.708,3.435,U.S Dollar,US Gallon,2025-06-22
Arkansas,AR,2.854,3.3,3.669,3.388,U.S Dollar,US Gallon,2025-06-22
Arizona,AZ,3.28,3.627,3.941,3.507,U.S Dollar,US Gallon,2025-06-22
California,CA,4.657,4.882,5.064,5.12,U.S Dollar,US Gallon,2025-06-22
Colorado,CO,3.098,3.491,3.815,3.411,U.S Dollar,US Gallon,2025-06-22
Connecticut,CT,3.168,3.731,4.094,3.788,U.S Dollar,US Gallon,2025-06-22
District of Columbia,DC,3.3,3.779,4.203,3.76,U.S Dollar,US Gallon,2025-06-22
Delaware,DE,3.163,3.709,4.008,3.673,U.S Dollar,US Gallon,2025-06-22
Florida,FL,3.11,3.547,3.866,3.565,U.S Dollar,US Gallon,2025-06-22
Georgia,GA,2.959,3.409,3.81,3.588,U.S Dollar,US Gallon,2025-06-22
Hawaii,HI,4.477,4.724,4.938,5.246,U.S Dollar,US Gallon,2025-06-22
Iowa,IA,3.054,3.339,3.843,3.62,U.S Dollar,US Gallon,2025-06-22
Idaho,ID,3.388,3.641,3.915,3.639,U.S Dollar,US Gallon,2025-06-22
Illinois,IL,3.437,4.024,4.481,3.708,U.S Dollar,US Gallon,2025-06-22
Indiana,IN,3.101,3.645,4.142,3.738,U.S Dollar,US Gallon,2025-06-22
Kansas,KS,2.914,3.243,3.565,3.415,U.S Dollar,US Gallon,2025-06-22
Kentucky,KY,2.866,3.405,3.821,3.381,U.S Dollar,US Gallon,2025-06-22
Louisiana,LA,2.832,3.262,3.641,3.318,U.S Dollar,US Gallon,2025-06-22
Massachusetts,MA,3.082,3.663,4.035,3.838,U.S Dollar,US Gallon,2025-06-22
Maryland,MD,3.204,3.759,4.053,3.733,U.S Dollar,US Gallon,2025-06-22
Maine,ME,3.109,3.644,4.11,3.871,U.S Dollar,US Gallon,2025-06-22
Michigan,MI,3.285,3.832,4.379,3.613,U.S Dollar,US Gallon,2025-06-22
Minnesota,MN,3.107,3.492,3.928,3.663,U.S Dollar,US Gallon,2025-06-22
Missouri,MO,2.865,3.214,3.542,3.358,U.S Dollar,US Gallon,2025-06-22
Mississippi,MS,2.731,3.178,3.55,3.264,U.S Dollar,US Gallon,2025-06-22
Montana,MT,3.273,3.574,3.903,3.622,U.S Dollar,US Gallon,2025-06-22
North Carolina,NC,2.931,3.368,3.761,3.528,U.S Dollar,US Gallon,2025-06-22
North Dakota,ND,2.954,3.281,3.655,3.419,U.S Dollar,US Gallon,2025-06-22
Nebraska,NE,3.01,3.197,3.726,3.428,U.S Dollar,US Gallon,2025-06-22
New Hampshire,NH,3.036,3.596,4.012,3.806,U.S Dollar,US Gallon,2025-06-22
New Jersey,NJ,3.142,3.67,3.915,3.662,U.S Dollar,US Gallon,2025-06-22
New Mexico,NM,2.95,3.343,3.645,3.454,U.S Dollar,US Gallon,2025-06-22
Nevada,NV,3.823,4.099,4.381,3.857,U.S Dollar,US Gallon,2025-06-22
New York,NY,3.206,3.714,4.093,3.916,U.S Dollar,US Gallon,2025-06-22
Ohio,OH,3.16,3.688,4.194,3.636,U.S Dollar,US Gallon,2025-06-22
Oklahoma,OK,2.839,3.225,3.522,3.28,U.S Dollar,US Gallon,2025-06-22
Oregon,OR,4.063,4.276,4.533,4.412,U.S Dollar,US Gallon,2025-06-22
Pennsylvania,PA,3.379,3.818,4.177,4.002,U.S Dollar,US Gallon,2025-06-22
Rhode Island,RI,3.067,3.782,4.152,3.818,U.S Dollar,US Gallon,2025-06-22
South Carolina,SC,2.887,3.337,3.715,3.509,U.S Dollar,US Gallon,2025-06-22
South Dakota,SD,3.032,3.199,3.694,3.382,U.S Dollar,US Gallon,2025-06-22
Tennessee,TN,2.847,3.305,3.7,3.444,U.S Dollar,US Gallon,2025-06-22
Texas,TX,2.85,3.312,3.664,3.219,U.S Dollar,US Gallon,2025-06-22
Utah,UT,3.295,3.561,3.794,3.453,U.S Dollar,US Gallon,2025-06-22
Virginia,VA,3.095,3.557,3.931,3.616,U.S Dollar,US Gallon,2025-06-22
Vermont,VT,3.156,3.714,4.113,3.816,U.S Dollar,US Gallon,2025-06-22
Washington,WA,4.436,4.695,4.914,4.865,U.S Dollar,US Gallon,2025-06-22
Wisconsin,WI,3.05,3.555,4.054,3.564,U.S Dollar,US Gallon,2025-06-22
West Virginia,WV,3.149,3.584,4.033,3.62,U.S Dollar,US Gallon,2025-06-22
Wyoming,WY,3.175,3.43,3.737,3.517,U.S Dollar,US Gallon,2025-06-22
