State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.73,3.932,4.174,3.941,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,2.782,3.22,3.614,3.423,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,2.787,3.238,3.6,3.356,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,3.24,3.589,3.906,3.536,U.S Dollar,US Gallon,2025-07-03
California,CA,4.567,4.799,4.977,5.125,U.S Dollar,US Gallon,2025-07-03
Colorado,CO,3.047,3.44,3.761,3.362,U.S Dollar,US Gallon,2025-07-03
Connecticut,CT,3.166,3.751,4.113,3.819,U.S Dollar,US Gallon,2025-07-03
District of Columbia,DC,3.349,3.84,4.275,3.823,U.S Dollar,US Gallon,2025-07-03
Delaware,DE,3.173,3.719,4.024,3.789,U.S Dollar,US Gallon,2025-07-03
Florida,FL,3.131,3.579,3.891,3.623,U.S Dollar,US Gallon,2025-07-03
Georgia,GA,2.919,3.365,3.772,3.574,U.S Dollar,US Gallon,2025-07-03
Hawaii,HI,4.479,4.721,4.964,5.243,U.S Dollar,US Gallon,2025-07-03
Iowa,IA,2.982,3.224,3.761,3.564,U.S Dollar,US Gallon,2025-07-03
Idaho,ID,3.424,3.698,3.971,3.823,U.S Dollar,US Gallon,2025-07-03
Illinois,IL,3.435,4.017,4.485,3.732,U.S Dollar,US Gallon,2025-07-03
Indiana,IN,3.158,3.711,4.205,3.741,U.S Dollar,US Gallon,2025-07-03
Kansas,KS,2.897,3.228,3.566,3.431,U.S Dollar,US Gallon,2025-07-03
Kentucky,KY,2.851,3.405,3.827,3.386,U.S Dollar,US Gallon,2025-07-03
Louisiana,LA,2.779,3.217,3.588,3.29,U.S Dollar,US Gallon,2025-07-03
Massachusetts,MA,3.067,3.661,4.032,3.851,U.S Dollar,US Gallon,2025-07-03
Maryland,MD,3.219,3.795,4.107,3.805,U.S Dollar,US Gallon,2025-07-03
Maine,ME,3.081,3.623,4.091,3.89,U.S Dollar,US Gallon,2025-07-03
Michigan,MI,3.185,3.76,4.316,3.664,U.S Dollar,US Gallon,2025-07-03
Minnesota,MN,3.012,3.391,3.836,3.625,U.S Dollar,US Gallon,2025-07-03
Missouri,MO,2.842,3.212,3.531,3.358,U.S Dollar,US Gallon,2025-07-03
Mississippi,MS,2.706,3.152,3.523,3.261,U.S Dollar,US Gallon,2025-07-03
Montana,MT,3.273,3.588,3.912,3.655,U.S Dollar,US Gallon,2025-07-03
North Carolina,NC,2.882,3.327,3.721,3.504,U.S Dollar,US Gallon,2025-07-03
North Dakota,ND,2.957,3.303,3.644,3.423,U.S Dollar,US Gallon,2025-07-03
Nebraska,NE,2.95,3.145,3.644,3.426,U.S Dollar,US Gallon,2025-07-03
New Hampshire,NH,3.022,3.595,4.008,3.806,U.S Dollar,US Gallon,2025-07-03
New Jersey,NJ,3.142,3.686,3.928,3.722,U.S Dollar,US Gallon,2025-07-03
New Mexico,NM,2.885,3.276,3.573,3.418,U.S Dollar,US Gallon,2025-07-03
Nevada,NV,3.774,4.078,4.347,3.877,U.S Dollar,US Gallon,2025-07-03
New York,NY,3.2,3.714,4.088,3.933,U.S Dollar,US Gallon,2025-07-03
Ohio,OH,2.908,3.444,3.952,3.601,U.S Dollar,US Gallon,2025-07-03
Oklahoma,OK,2.743,3.141,3.431,3.235,U.S Dollar,US Gallon,2025-07-03
Oregon,OR,4.036,4.267,4.514,4.473,U.S Dollar,US Gallon,2025-07-03
Pennsylvania,PA,3.342,3.787,4.154,4.03,U.S Dollar,US Gallon,2025-07-03
Rhode Island,RI,3.036,3.745,4.12,3.807,U.S Dollar,US Gallon,2025-07-03
South Carolina,SC,2.815,3.266,3.643,3.484,U.S Dollar,US Gallon,2025-07-03
South Dakota,SD,2.978,3.158,3.63,3.337,U.S Dollar,US Gallon,2025-07-03
Tennessee,TN,2.759,3.213,3.609,3.424,U.S Dollar,US Gallon,2025-07-03
Texas,TX,2.724,3.175,3.535,3.197,U.S Dollar,US Gallon,2025-07-03
Utah,UT,3.325,3.588,3.824,3.547,U.S Dollar,US Gallon,2025-07-03
Virginia,VA,3.083,3.555,3.925,3.652,U.S Dollar,US Gallon,2025-07-03
Vermont,VT,3.133,3.68,4.094,3.846,U.S Dollar,US Gallon,2025-07-03
Washington,WA,4.414,4.693,4.913,4.945,U.S Dollar,US Gallon,2025-07-03
Wisconsin,WI,2.953,3.47,3.969,3.493,U.S Dollar,US Gallon,2025-07-03
West Virginia,WV,3.067,3.49,3.934,3.623,U.S Dollar,US Gallon,2025-07-03
Wyoming,WY,3.146,3.413,3.713,3.52,U.S Dollar,US Gallon,2025-07-03
