State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.0649,5.2762,5.543,6.6653,U.S Dollar,US Gallon,2026-09-21
Alabama,AL,4.013,4.4592,4.8736,6.1494,U.S Dollar,US Gallon,2026-09-21
Arkansas,AR,4.0799,4.5442,4.9489,6.2058,U.S Dollar,US Gallon,2026-09-21
Arizona,AZ,4.6614,5.0031,5.3424,6.4414,U.S Dollar,US Gallon,2026-09-21
California,CA,6.1687,6.3857,6.5888,8.4208,U.S Dollar,US Gallon,2026-09-21
Colorado,CO,4.3073,4.6969,5.0243,6.1331,U.S Dollar,US Gallon,2026-09-21
Connecticut,CT,4.5034,5.0606,5.4842,6.4481,U.S Dollar,US Gallon,2026-09-21
District of Columbia,DC,4.4547,5.0763,5.3869,6.5625,U.S Dollar,US Gallon,2026-09-21
Delaware,DE,4.3688,4.9636,5.2639,6.4139,U.S Dollar,US Gallon,2026-09-21
Florida,FL,4.2807,4.7226,5.0499,6.2846,U.S Dollar,US Gallon,2026-09-21
Georgia,GA,4.0914,4.525,4.9487,6.3421,U.S Dollar,US Gallon,2026-09-21
Hawaii,HI,5.5305,5.7781,6.0109,7.0786,U.S Dollar,US Gallon,2026-09-21
Iowa,IA,4.3698,4.6973,5.2204,6.3157,U.S Dollar,US Gallon,2026-09-21
Idaho,ID,4.8612,5.1275,5.3992,6.4778,U.S Dollar,US Gallon,2026-09-21
Illinois,IL,4.9077,5.4801,6.0284,6.7817,U.S Dollar,US Gallon,2026-09-21
Indiana,IN,4.0168,4.5713,5.1031,6.8165,U.S Dollar,US Gallon,2026-09-21
Kansas,KS,4.175,4.4743,4.8677,6.2363,U.S Dollar,US Gallon,2026-09-21
Kentucky,KY,4.185,4.7481,5.1769,6.3811,U.S Dollar,US Gallon,2026-09-21
Louisiana,LA,4.0017,4.4671,4.8592,6.0337,U.S Dollar,US Gallon,2026-09-21
Massachusetts,MA,4.4116,5.0192,5.4379,6.3814,U.S Dollar,US Gallon,2026-09-21
Maryland,MD,4.2227,4.8419,5.1725,6.4908,U.S Dollar,US Gallon,2026-09-21
Maine,ME,4.4266,4.9665,5.4294,6.5101,U.S Dollar,US Gallon,2026-09-21
Michigan,MI,4.9147,5.5009,6.1066,6.8132,U.S Dollar,US Gallon,2026-09-21
Minnesota,MN,4.39,4.8376,5.3579,6.3281,U.S Dollar,US Gallon,2026-09-21
Missouri,MO,4.1874,4.5142,4.8838,6.3035,U.S Dollar,US Gallon,2026-09-21
Mississippi,MS,3.968,4.4242,4.801,6.0523,U.S Dollar,US Gallon,2026-09-21
Montana,MT,4.5904,4.9251,5.2924,6.2997,U.S Dollar,US Gallon,2026-09-21
North Carolina,NC,4.1389,4.5762,4.9783,6.2458,U.S Dollar,US Gallon,2026-09-21
North Dakota,ND,4.2334,4.659,5.1845,6.2469,U.S Dollar,US Gallon,2026-09-21
Nebraska,NE,4.2642,4.5394,5.0749,6.2245,U.S Dollar,US Gallon,2026-09-21
New Hampshire,NH,4.3839,4.9468,5.398,6.3963,U.S Dollar,US Gallon,2026-09-21
New Jersey,NJ,4.423,4.9616,5.2649,6.4625,U.S Dollar,US Gallon,2026-09-21
New Mexico,NM,4.4332,4.8784,5.2,6.3396,U.S Dollar,US Gallon,2026-09-21
Nevada,NV,5.2911,5.5698,5.8793,6.8213,U.S Dollar,US Gallon,2026-09-21
New York,NY,4.4893,5.008,5.4173,6.4925,U.S Dollar,US Gallon,2026-09-21
Ohio,OH,4.5155,5.0408,5.5748,6.7677,U.S Dollar,US Gallon,2026-09-21
Oklahoma,OK,4.0459,4.4721,4.7875,6.0251,U.S Dollar,US Gallon,2026-09-21
Oregon,OR,5.0987,5.3375,5.6543,6.8658,U.S Dollar,US Gallon,2026-09-21
Pennsylvania,PA,4.5701,5.0027,5.3927,6.5997,U.S Dollar,US Gallon,2026-09-21
Rhode Island,RI,4.4073,5.1094,5.5544,6.3678,U.S Dollar,US Gallon,2026-09-21
South Carolina,SC,4.0603,4.5033,4.9074,6.1473,U.S Dollar,US Gallon,2026-09-21
South Dakota,SD,4.2674,4.4924,5.0645,6.2857,U.S Dollar,US Gallon,2026-09-21
Tennessee,TN,4.0713,4.5105,4.9232,6.2076,U.S Dollar,US Gallon,2026-09-21
Texas,TX,3.9495,4.4443,4.8165,5.9707,U.S Dollar,US Gallon,2026-09-21
Utah,UT,4.7982,5.0778,5.3211,6.4113,U.S Dollar,US Gallon,2026-09-21
Virginia,VA,4.1851,4.6532,5.0325,6.3871,U.S Dollar,US Gallon,2026-09-21
Vermont,VT,4.4654,4.9793,5.4662,6.4586,U.S Dollar,US Gallon,2026-09-21
Washington,WA,5.5673,5.7958,6.0578,7.4316,U.S Dollar,US Gallon,2026-09-21
Wisconsin,WI,4.4386,4.9905,5.5894,6.5657,U.S Dollar,US Gallon,2026-09-21
West Virginia,WV,4.3679,4.8058,5.2532,6.3927,U.S Dollar,US Gallon,2026-09-21
Wyoming,WY,4.4951,4.7743,5.08,6.1413,U.S Dollar,US Gallon,2026-09-21
