State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.279,5.477,5.755,5.889,U.S Dollar,US Gallon,2026-05-17
Alabama,AL,4.065,4.495,4.908,5.215,U.S Dollar,US Gallon,2026-05-17
Arkansas,AR,4.07,4.518,4.875,5.189,U.S Dollar,US Gallon,2026-05-17
Arizona,AZ,4.828,5.196,5.522,5.773,U.S Dollar,US Gallon,2026-05-17
California,CA,6.143,6.381,6.567,7.421,U.S Dollar,US Gallon,2026-05-17
Colorado,CO,4.637,5.047,5.379,5.636,U.S Dollar,US Gallon,2026-05-17
Connecticut,CT,4.642,5.157,5.542,5.817,U.S Dollar,US Gallon,2026-05-17
District of Columbia,DC,4.68,5.227,5.558,5.985,U.S Dollar,US Gallon,2026-05-17
Delaware,DE,4.341,4.9,5.187,5.525,U.S Dollar,US Gallon,2026-05-17
Florida,FL,4.227,4.664,5.007,5.186,U.S Dollar,US Gallon,2026-05-17
Georgia,GA,4.004,4.452,4.871,5.11,U.S Dollar,US Gallon,2026-05-17
Hawaii,HI,5.639,5.886,6.138,7.115,U.S Dollar,US Gallon,2026-05-17
Iowa,IA,4.32,4.561,5.163,5.34,U.S Dollar,US Gallon,2026-05-17
Idaho,ID,4.635,4.901,5.175,5.572,U.S Dollar,US Gallon,2026-05-17
Illinois,IL,5.06,5.671,6.135,6.106,U.S Dollar,US Gallon,2026-05-17
Indiana,IN,4.146,4.72,5.207,6.119,U.S Dollar,US Gallon,2026-05-17
Kansas,KS,4.1,4.44,4.77,5.16,U.S Dollar,US Gallon,2026-05-17
Kentucky,KY,4.176,4.722,5.145,5.282,U.S Dollar,US Gallon,2026-05-17
Louisiana,LA,4.003,4.425,4.814,5.074,U.S Dollar,US Gallon,2026-05-17
Massachusetts,MA,4.494,5.03,5.424,5.796,U.S Dollar,US Gallon,2026-05-17
Maryland,MD,4.47,5.021,5.353,5.591,U.S Dollar,US Gallon,2026-05-17
Maine,ME,4.518,5.05,5.546,5.803,U.S Dollar,US Gallon,2026-05-17
Michigan,MI,4.843,5.449,6.008,6.158,U.S Dollar,US Gallon,2026-05-17
Minnesota,MN,4.411,4.843,5.337,5.388,U.S Dollar,US Gallon,2026-05-17
Missouri,MO,4.165,4.554,4.869,5.281,U.S Dollar,US Gallon,2026-05-17
Mississippi,MS,3.996,4.419,4.805,5.081,U.S Dollar,US Gallon,2026-05-17
Montana,MT,4.572,4.88,5.232,5.481,U.S Dollar,US Gallon,2026-05-17
North Carolina,NC,4.194,4.629,5.027,5.41,U.S Dollar,US Gallon,2026-05-17
North Dakota,ND,4.169,4.503,4.934,5.233,U.S Dollar,US Gallon,2026-05-17
Nebraska,NE,4.144,4.364,4.814,5.186,U.S Dollar,US Gallon,2026-05-17
New Hampshire,NH,4.482,5.002,5.457,5.75,U.S Dollar,US Gallon,2026-05-17
New Jersey,NJ,4.508,5.02,5.301,5.598,U.S Dollar,US Gallon,2026-05-17
New Mexico,NM,4.36,4.783,5.098,5.46,U.S Dollar,US Gallon,2026-05-17
Nevada,NV,5.242,5.548,5.852,6.16,U.S Dollar,US Gallon,2026-05-17
New York,NY,4.608,5.089,5.486,5.94,U.S Dollar,US Gallon,2026-05-17
Ohio,OH,4.547,5.069,5.584,6.098,U.S Dollar,US Gallon,2026-05-17
Oklahoma,OK,4.012,4.423,4.714,5.055,U.S Dollar,US Gallon,2026-05-17
Oregon,OR,5.337,5.57,5.854,6.185,U.S Dollar,US Gallon,2026-05-17
Pennsylvania,PA,4.64,5.054,5.438,5.941,U.S Dollar,US Gallon,2026-05-17
Rhode Island,RI,4.484,5.148,5.556,5.571,U.S Dollar,US Gallon,2026-05-17
South Carolina,SC,4.17,4.607,5.003,5.288,U.S Dollar,US Gallon,2026-05-17
South Dakota,SD,4.327,4.532,5.003,5.166,U.S Dollar,US Gallon,2026-05-17
Tennessee,TN,4.101,4.54,4.944,5.184,U.S Dollar,US Gallon,2026-05-17
Texas,TX,3.975,4.431,4.798,5.011,U.S Dollar,US Gallon,2026-05-17
Utah,UT,4.597,4.872,5.112,5.577,U.S Dollar,US Gallon,2026-05-17
Virginia,VA,4.324,4.786,5.158,5.559,U.S Dollar,US Gallon,2026-05-17
Vermont,VT,4.562,5.072,5.526,5.772,U.S Dollar,US Gallon,2026-05-17
Washington,WA,5.777,6.035,6.285,6.8,U.S Dollar,US Gallon,2026-05-17
Wisconsin,WI,4.539,5.065,5.637,5.809,U.S Dollar,US Gallon,2026-05-17
West Virginia,WV,4.519,4.949,5.394,5.789,U.S Dollar,US Gallon,2026-05-17
Wyoming,WY,4.521,4.804,5.087,5.489,U.S Dollar,US Gallon,2026-05-17
