State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.543,3.791,4.036,3.631,U.S Dollar,US Gallon,2024-11-13
Alabama,AL,2.774,3.212,3.604,3.354,U.S Dollar,US Gallon,2024-11-13
Arkansas,AR,2.711,3.11,3.499,3.217,U.S Dollar,US Gallon,2024-11-13
Arizona,AZ,3.191,3.517,3.835,3.53,U.S Dollar,US Gallon,2024-11-13
California,CA,4.49,4.713,4.883,4.903,U.S Dollar,US Gallon,2024-11-13
Colorado,CO,3.071,3.454,3.772,3.456,U.S Dollar,US Gallon,2024-11-13
Connecticut,CT,3.045,3.687,4.029,3.684,U.S Dollar,US Gallon,2024-11-13
District of Columbia,DC,3.246,3.843,4.228,3.765,U.S Dollar,US Gallon,2024-11-13
Delaware,DE,2.956,3.519,3.796,3.527,U.S Dollar,US Gallon,2024-11-13
Florida,FL,3.052,3.494,3.825,3.437,U.S Dollar,US Gallon,2024-11-13
Georgia,GA,2.931,3.373,3.772,3.465,U.S Dollar,US Gallon,2024-11-13
Hawaii,HI,4.582,4.806,5.059,5.318,U.S Dollar,US Gallon,2024-11-13
Iowa,IA,2.798,3.118,3.539,3.308,U.S Dollar,US Gallon,2024-11-13
Idaho,ID,3.207,3.445,3.683,3.578,U.S Dollar,US Gallon,2024-11-13
Illinois,IL,3.248,3.82,4.268,3.64,U.S Dollar,US Gallon,2024-11-13
Indiana,IN,3.053,3.577,4.085,3.699,U.S Dollar,US Gallon,2024-11-13
Kansas,KS,2.724,3.033,3.343,3.242,U.S Dollar,US Gallon,2024-11-13
Kentucky,KY,2.809,3.328,3.746,3.35,U.S Dollar,US Gallon,2024-11-13
Louisiana,LA,2.767,3.213,3.595,3.235,U.S Dollar,US Gallon,2024-11-13
Massachusetts,MA,3.031,3.615,3.984,3.7,U.S Dollar,US Gallon,2024-11-13
Maryland,MD,3.055,3.674,3.972,3.594,U.S Dollar,US Gallon,2024-11-13
Maine,ME,3.042,3.546,4.01,3.766,U.S Dollar,US Gallon,2024-11-13
Michigan,MI,3.154,3.7,4.257,3.666,U.S Dollar,US Gallon,2024-11-13
Minnesota,MN,2.937,3.361,3.777,3.43,U.S Dollar,US Gallon,2024-11-13
Missouri,MO,2.7,3.044,3.353,3.17,U.S Dollar,US Gallon,2024-11-13
Mississippi,MS,2.672,3.088,3.466,3.167,U.S Dollar,US Gallon,2024-11-13
Montana,MT,3.054,3.353,3.666,3.479,U.S Dollar,US Gallon,2024-11-13
North Carolina,NC,2.922,3.364,3.749,3.458,U.S Dollar,US Gallon,2024-11-13
North Dakota,ND,2.967,3.274,3.607,3.484,U.S Dollar,US Gallon,2024-11-13
Nebraska,NE,2.835,3.064,3.466,3.242,U.S Dollar,US Gallon,2024-11-13
New Hampshire,NH,2.976,3.537,3.959,3.712,U.S Dollar,US Gallon,2024-11-13
New Jersey,NJ,2.908,3.508,3.761,3.458,U.S Dollar,US Gallon,2024-11-13
New Mexico,NM,2.888,3.274,3.577,3.338,U.S Dollar,US Gallon,2024-11-13
Nevada,NV,3.775,4.063,4.31,3.718,U.S Dollar,US Gallon,2024-11-13
New York,NY,3.16,3.675,4.057,3.886,U.S Dollar,US Gallon,2024-11-13
Ohio,OH,2.809,3.355,3.88,3.545,U.S Dollar,US Gallon,2024-11-13
Oklahoma,OK,2.606,2.95,3.218,3.001,U.S Dollar,US Gallon,2024-11-13
Oregon,OR,3.576,3.827,4.062,3.88,U.S Dollar,US Gallon,2024-11-13
Pennsylvania,PA,3.275,3.715,4.071,3.99,U.S Dollar,US Gallon,2024-11-13
Rhode Island,RI,2.939,3.642,3.943,3.706,U.S Dollar,US Gallon,2024-11-13
South Carolina,SC,2.799,3.236,3.61,3.303,U.S Dollar,US Gallon,2024-11-13
South Dakota,SD,2.919,3.139,3.521,3.238,U.S Dollar,US Gallon,2024-11-13
Tennessee,TN,2.735,3.163,3.55,3.327,U.S Dollar,US Gallon,2024-11-13
Texas,TX,2.687,3.139,3.491,3.078,U.S Dollar,US Gallon,2024-11-13
Utah,UT,3.205,3.458,3.674,3.479,U.S Dollar,US Gallon,2024-11-13
Virginia,VA,3.005,3.482,3.845,3.506,U.S Dollar,US Gallon,2024-11-13
Vermont,VT,3.119,3.673,4.066,3.575,U.S Dollar,US Gallon,2024-11-13
Washington,WA,4.0,4.258,4.485,4.386,U.S Dollar,US Gallon,2024-11-13
Wisconsin,WI,2.821,3.305,3.819,3.367,U.S Dollar,US Gallon,2024-11-13
West Virginia,WV,3.026,3.436,3.891,3.598,U.S Dollar,US Gallon,2024-11-13
Wyoming,WY,3.1,3.376,3.662,3.504,U.S Dollar,US Gallon,2024-11-13
