State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.658,4.878,5.125,5.955,U.S Dollar,US Gallon,2026-04-17
Alabama,AL,3.801,4.255,4.661,5.381,U.S Dollar,US Gallon,2026-04-17
Arkansas,AR,3.622,4.075,4.444,5.133,U.S Dollar,US Gallon,2026-04-17
Arizona,AZ,4.627,5.015,5.331,5.994,U.S Dollar,US Gallon,2026-04-17
California,CA,5.856,6.094,6.28,7.6,U.S Dollar,US Gallon,2026-04-17
Colorado,CO,3.935,4.344,4.661,5.127,U.S Dollar,US Gallon,2026-04-17
Connecticut,CT,4.065,4.619,5.006,5.884,U.S Dollar,US Gallon,2026-04-17
District of Columbia,DC,4.269,4.875,5.268,5.842,U.S Dollar,US Gallon,2026-04-17
Delaware,DE,3.944,4.548,4.844,5.748,U.S Dollar,US Gallon,2026-04-17
Florida,FL,4.093,4.559,4.893,5.573,U.S Dollar,US Gallon,2026-04-17
Georgia,GA,3.65,4.11,4.536,5.21,U.S Dollar,US Gallon,2026-04-17
Hawaii,HI,5.659,5.924,6.138,7.148,U.S Dollar,US Gallon,2026-04-17
Iowa,IA,3.609,3.839,4.448,5.037,U.S Dollar,US Gallon,2026-04-17
Idaho,ID,4.326,4.628,4.898,5.501,U.S Dollar,US Gallon,2026-04-17
Illinois,IL,4.337,4.919,5.382,5.41,U.S Dollar,US Gallon,2026-04-17
Indiana,IN,3.829,4.383,4.878,5.41,U.S Dollar,US Gallon,2026-04-17
Kansas,KS,3.491,3.824,4.152,4.745,U.S Dollar,US Gallon,2026-04-17
Kentucky,KY,3.946,4.5,4.933,5.328,U.S Dollar,US Gallon,2026-04-17
Louisiana,LA,3.721,4.16,4.555,5.205,U.S Dollar,US Gallon,2026-04-17
Massachusetts,MA,3.953,4.54,4.931,5.848,U.S Dollar,US Gallon,2026-04-17
Maryland,MD,4.066,4.662,4.987,5.806,U.S Dollar,US Gallon,2026-04-17
Maine,ME,3.999,4.548,5.02,5.856,U.S Dollar,US Gallon,2026-04-17
Michigan,MI,3.871,4.473,5.035,5.239,U.S Dollar,US Gallon,2026-04-17
Minnesota,MN,3.686,4.12,4.596,5.079,U.S Dollar,US Gallon,2026-04-17
Missouri,MO,3.648,4.057,4.368,4.874,U.S Dollar,US Gallon,2026-04-17
Mississippi,MS,3.726,4.159,4.562,5.203,U.S Dollar,US Gallon,2026-04-17
Montana,MT,3.892,4.199,4.544,4.992,U.S Dollar,US Gallon,2026-04-17
North Carolina,NC,3.824,4.27,4.67,5.682,U.S Dollar,US Gallon,2026-04-17
North Dakota,ND,3.606,3.964,4.366,4.865,U.S Dollar,US Gallon,2026-04-17
Nebraska,NE,3.607,3.775,4.251,4.883,U.S Dollar,US Gallon,2026-04-17
New Hampshire,NH,3.937,4.486,4.956,5.794,U.S Dollar,US Gallon,2026-04-17
New Jersey,NJ,3.97,4.518,4.788,5.802,U.S Dollar,US Gallon,2026-04-17
New Mexico,NM,3.903,4.335,4.639,5.384,U.S Dollar,US Gallon,2026-04-17
Nevada,NV,4.95,5.265,5.555,6.265,U.S Dollar,US Gallon,2026-04-17
New York,NY,4.114,4.616,5.001,5.934,U.S Dollar,US Gallon,2026-04-17
Ohio,OH,3.745,4.277,4.794,5.372,U.S Dollar,US Gallon,2026-04-17
Oklahoma,OK,3.423,3.837,4.126,4.737,U.S Dollar,US Gallon,2026-04-17
Oregon,OR,4.992,5.216,5.499,6.29,U.S Dollar,US Gallon,2026-04-17
Pennsylvania,PA,4.112,4.554,4.93,6.041,U.S Dollar,US Gallon,2026-04-17
Rhode Island,RI,3.956,4.635,5.054,5.763,U.S Dollar,US Gallon,2026-04-17
South Carolina,SC,3.748,4.195,4.594,5.548,U.S Dollar,US Gallon,2026-04-17
South Dakota,SD,3.674,3.855,4.325,4.826,U.S Dollar,US Gallon,2026-04-17
Tennessee,TN,3.819,4.283,4.681,5.399,U.S Dollar,US Gallon,2026-04-17
Texas,TX,3.716,4.195,4.568,5.222,U.S Dollar,US Gallon,2026-04-17
Utah,UT,4.19,4.479,4.725,5.346,U.S Dollar,US Gallon,2026-04-17
Virginia,VA,3.938,4.412,4.792,5.713,U.S Dollar,US Gallon,2026-04-17
Vermont,VT,4.075,4.584,5.046,5.854,U.S Dollar,US Gallon,2026-04-17
Washington,WA,5.386,5.66,5.897,6.923,U.S Dollar,US Gallon,2026-04-17
Wisconsin,WI,3.753,4.269,4.858,4.949,U.S Dollar,US Gallon,2026-04-17
West Virginia,WV,3.912,4.337,4.788,5.515,U.S Dollar,US Gallon,2026-04-17
Wyoming,WY,3.869,4.19,4.478,5.064,U.S Dollar,US Gallon,2026-04-17
