State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.554,3.804,4.032,3.831,U.S Dollar,US Gallon,2026-01-02
Alabama,AL,2.553,2.999,3.381,3.317,U.S Dollar,US Gallon,2026-01-02
Arkansas,AR,2.407,2.884,3.245,3.233,U.S Dollar,US Gallon,2026-01-02
Arizona,AZ,3.034,3.4,3.716,3.451,U.S Dollar,US Gallon,2026-01-02
California,CA,4.269,4.502,4.691,4.912,U.S Dollar,US Gallon,2026-01-02
Colorado,CO,2.367,2.754,3.066,3.048,U.S Dollar,US Gallon,2026-01-02
Connecticut,CT,2.928,3.57,3.967,3.791,U.S Dollar,US Gallon,2026-01-02
District of Columbia,DC,3.18,3.707,4.121,3.9,U.S Dollar,US Gallon,2026-01-02
Delaware,DE,2.832,3.401,3.684,3.598,U.S Dollar,US Gallon,2026-01-02
Florida,FL,2.854,3.316,3.639,3.528,U.S Dollar,US Gallon,2026-01-02
Georgia,GA,2.671,3.1,3.507,3.479,U.S Dollar,US Gallon,2026-01-02
Hawaii,HI,4.42,4.614,4.844,5.197,U.S Dollar,US Gallon,2026-01-02
Iowa,IA,2.361,2.731,3.197,3.28,U.S Dollar,US Gallon,2026-01-02
Idaho,ID,2.826,3.135,3.401,3.314,U.S Dollar,US Gallon,2026-01-02
Illinois,IL,2.921,3.505,3.96,3.629,U.S Dollar,US Gallon,2026-01-02
Indiana,IN,2.832,3.395,3.881,3.718,U.S Dollar,US Gallon,2026-01-02
Kansas,KS,2.432,2.786,3.146,3.243,U.S Dollar,US Gallon,2026-01-02
Kentucky,KY,2.609,3.188,3.599,3.346,U.S Dollar,US Gallon,2026-01-02
Louisiana,LA,2.469,2.912,3.29,3.169,U.S Dollar,US Gallon,2026-01-02
Massachusetts,MA,2.954,3.598,3.952,3.83,U.S Dollar,US Gallon,2026-01-02
Maryland,MD,2.913,3.494,3.806,3.642,U.S Dollar,US Gallon,2026-01-02
Maine,ME,2.931,3.489,3.969,3.976,U.S Dollar,US Gallon,2026-01-02
Michigan,MI,2.726,3.325,3.884,3.55,U.S Dollar,US Gallon,2026-01-02
Minnesota,MN,2.646,3.133,3.602,3.569,U.S Dollar,US Gallon,2026-01-02
Missouri,MO,2.472,2.873,3.18,3.197,U.S Dollar,US Gallon,2026-01-02
Mississippi,MS,2.459,2.891,3.252,3.18,U.S Dollar,US Gallon,2026-01-02
Montana,MT,2.797,3.11,3.416,3.23,U.S Dollar,US Gallon,2026-01-02
North Carolina,NC,2.635,3.092,3.485,3.408,U.S Dollar,US Gallon,2026-01-02
North Dakota,ND,2.55,2.889,3.245,3.456,U.S Dollar,US Gallon,2026-01-02
Nebraska,NE,2.505,2.721,3.232,3.146,U.S Dollar,US Gallon,2026-01-02
New Hampshire,NH,2.877,3.492,3.907,3.834,U.S Dollar,US Gallon,2026-01-02
New Jersey,NJ,2.825,3.406,3.678,3.686,U.S Dollar,US Gallon,2026-01-02
New Mexico,NM,2.588,2.994,3.324,3.304,U.S Dollar,US Gallon,2026-01-02
Nevada,NV,3.387,3.684,3.975,3.652,U.S Dollar,US Gallon,2026-01-02
New York,NY,3.036,3.569,3.945,3.887,U.S Dollar,US Gallon,2026-01-02
Ohio,OH,2.605,3.127,3.631,3.525,U.S Dollar,US Gallon,2026-01-02
Oklahoma,OK,2.244,2.667,2.957,2.904,U.S Dollar,US Gallon,2026-01-02
Oregon,OR,3.416,3.679,3.95,4.063,U.S Dollar,US Gallon,2026-01-02
Pennsylvania,PA,3.031,3.484,3.852,3.993,U.S Dollar,US Gallon,2026-01-02
Rhode Island,RI,2.875,3.639,4.05,3.813,U.S Dollar,US Gallon,2026-01-02
South Carolina,SC,2.538,2.988,3.37,3.237,U.S Dollar,US Gallon,2026-01-02
South Dakota,SD,2.564,2.76,3.228,3.187,U.S Dollar,US Gallon,2026-01-02
Tennessee,TN,2.526,3.003,3.386,3.305,U.S Dollar,US Gallon,2026-01-02
Texas,TX,2.43,2.902,3.271,3.061,U.S Dollar,US Gallon,2026-01-02
Utah,UT,2.635,2.918,3.158,3.234,U.S Dollar,US Gallon,2026-01-02
Virginia,VA,2.716,3.194,3.563,3.56,U.S Dollar,US Gallon,2026-01-02
Vermont,VT,3.045,3.589,4.03,3.863,U.S Dollar,US Gallon,2026-01-02
Washington,WA,3.852,4.1,4.37,4.674,U.S Dollar,US Gallon,2026-01-02
Wisconsin,WI,2.44,2.986,3.542,3.355,U.S Dollar,US Gallon,2026-01-02
West Virginia,WV,2.821,3.251,3.689,3.581,U.S Dollar,US Gallon,2026-01-02
Wyoming,WY,2.529,2.811,3.138,3.234,U.S Dollar,US Gallon,2026-01-02
