State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.651,3.837,4.063,3.682,U.S Dollar,US Gallon,2025-06-14
Alabama,AL,2.757,3.206,3.601,3.3,U.S Dollar,US Gallon,2025-06-14
Arkansas,AR,2.795,3.241,3.614,3.186,U.S Dollar,US Gallon,2025-06-14
Arizona,AZ,3.251,3.585,3.907,3.417,U.S Dollar,US Gallon,2025-06-14
California,CA,4.652,4.876,5.053,5.046,U.S Dollar,US Gallon,2025-06-14
Colorado,CO,3.087,3.475,3.797,3.328,U.S Dollar,US Gallon,2025-06-14
Connecticut,CT,3.087,3.689,4.03,3.719,U.S Dollar,US Gallon,2025-06-14
District of Columbia,DC,3.177,3.725,4.156,3.715,U.S Dollar,US Gallon,2025-06-14
Delaware,DE,2.975,3.516,3.795,3.48,U.S Dollar,US Gallon,2025-06-14
Florida,FL,2.949,3.391,3.716,3.379,U.S Dollar,US Gallon,2025-06-14
Georgia,GA,2.866,3.317,3.721,3.433,U.S Dollar,US Gallon,2025-06-14
Hawaii,HI,4.473,4.711,4.951,5.251,U.S Dollar,US Gallon,2025-06-14
Iowa,IA,2.903,3.156,3.683,3.321,U.S Dollar,US Gallon,2025-06-14
Idaho,ID,3.299,3.56,3.822,3.533,U.S Dollar,US Gallon,2025-06-14
Illinois,IL,3.439,4.025,4.488,3.525,U.S Dollar,US Gallon,2025-06-14
Indiana,IN,3.182,3.708,4.209,3.532,U.S Dollar,US Gallon,2025-06-14
Kansas,KS,2.852,3.188,3.52,3.247,U.S Dollar,US Gallon,2025-06-14
Kentucky,KY,2.859,3.405,3.824,3.223,U.S Dollar,US Gallon,2025-06-14
Louisiana,LA,2.746,3.189,3.569,3.169,U.S Dollar,US Gallon,2025-06-14
Massachusetts,MA,2.993,3.6,3.963,3.762,U.S Dollar,US Gallon,2025-06-14
Maryland,MD,3.053,3.648,3.941,3.561,U.S Dollar,US Gallon,2025-06-14
Maine,ME,3.01,3.56,4.018,3.801,U.S Dollar,US Gallon,2025-06-14
Michigan,MI,3.091,3.651,4.199,3.416,U.S Dollar,US Gallon,2025-06-14
Minnesota,MN,2.939,3.327,3.771,3.402,U.S Dollar,US Gallon,2025-06-14
Missouri,MO,2.822,3.182,3.497,3.175,U.S Dollar,US Gallon,2025-06-14
Mississippi,MS,2.66,3.107,3.471,3.12,U.S Dollar,US Gallon,2025-06-14
Montana,MT,3.208,3.524,3.843,3.468,U.S Dollar,US Gallon,2025-06-14
North Carolina,NC,2.863,3.318,3.705,3.351,U.S Dollar,US Gallon,2025-06-14
North Dakota,ND,2.898,3.223,3.617,3.304,U.S Dollar,US Gallon,2025-06-14
Nebraska,NE,2.946,3.144,3.655,3.221,U.S Dollar,US Gallon,2025-06-14
New Hampshire,NH,2.903,3.493,3.894,3.709,U.S Dollar,US Gallon,2025-06-14
New Jersey,NJ,3.04,3.603,3.836,3.502,U.S Dollar,US Gallon,2025-06-14
New Mexico,NM,2.898,3.299,3.592,3.303,U.S Dollar,US Gallon,2025-06-14
Nevada,NV,3.78,4.064,4.329,3.747,U.S Dollar,US Gallon,2025-06-14
New York,NY,3.109,3.629,3.999,3.862,U.S Dollar,US Gallon,2025-06-14
Ohio,OH,3.067,3.583,4.091,3.417,U.S Dollar,US Gallon,2025-06-14
Oklahoma,OK,2.751,3.148,3.436,3.07,U.S Dollar,US Gallon,2025-06-14
Oregon,OR,3.984,4.206,4.455,4.189,U.S Dollar,US Gallon,2025-06-14
Pennsylvania,PA,3.291,3.733,4.095,3.908,U.S Dollar,US Gallon,2025-06-14
Rhode Island,RI,2.971,3.696,4.071,3.757,U.S Dollar,US Gallon,2025-06-14
South Carolina,SC,2.801,3.261,3.629,3.256,U.S Dollar,US Gallon,2025-06-14
South Dakota,SD,2.951,3.139,3.608,3.196,U.S Dollar,US Gallon,2025-06-14
Tennessee,TN,2.684,3.135,3.532,3.256,U.S Dollar,US Gallon,2025-06-14
Texas,TX,2.733,3.192,3.545,3.033,U.S Dollar,US Gallon,2025-06-14
Utah,UT,3.279,3.544,3.774,3.404,U.S Dollar,US Gallon,2025-06-14
Virginia,VA,3.022,3.497,3.868,3.488,U.S Dollar,US Gallon,2025-06-14
Vermont,VT,3.068,3.634,4.069,3.758,U.S Dollar,US Gallon,2025-06-14
Washington,WA,4.367,4.633,4.855,4.7,U.S Dollar,US Gallon,2025-06-14
Wisconsin,WI,2.936,3.461,3.952,3.275,U.S Dollar,US Gallon,2025-06-14
West Virginia,WV,3.057,3.489,3.916,3.463,U.S Dollar,US Gallon,2025-06-14
Wyoming,WY,3.13,3.408,3.693,3.408,U.S Dollar,US Gallon,2025-06-14
