State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.14,4.356,4.597,4.949,U.S Dollar,US Gallon,2026-03-15
Alabama,AL,3.398,3.838,4.247,4.855,U.S Dollar,US Gallon,2026-03-15
Arkansas,AR,3.218,3.661,4.007,4.511,U.S Dollar,US Gallon,2026-03-15
Arizona,AZ,4.32,4.699,5.013,5.149,U.S Dollar,US Gallon,2026-03-15
California,CA,5.509,5.732,5.92,6.412,U.S Dollar,US Gallon,2026-03-15
Colorado,CO,3.791,4.194,4.524,4.788,U.S Dollar,US Gallon,2026-03-15
Connecticut,CT,3.619,4.131,4.533,5.151,U.S Dollar,US Gallon,2026-03-15
District of Columbia,DC,3.828,4.389,4.754,5.139,U.S Dollar,US Gallon,2026-03-15
Delaware,DE,3.397,3.987,4.27,4.956,U.S Dollar,US Gallon,2026-03-15
Florida,FL,3.722,4.154,4.48,5.098,U.S Dollar,US Gallon,2026-03-15
Georgia,GA,3.519,3.96,4.376,5.06,U.S Dollar,US Gallon,2026-03-15
Hawaii,HI,4.945,5.064,5.333,5.839,U.S Dollar,US Gallon,2026-03-15
Iowa,IA,3.342,3.561,4.204,4.58,U.S Dollar,US Gallon,2026-03-15
Idaho,ID,3.677,3.948,4.235,4.829,U.S Dollar,US Gallon,2026-03-15
Illinois,IL,3.713,4.26,4.738,4.912,U.S Dollar,US Gallon,2026-03-15
Indiana,IN,3.474,3.999,4.49,4.909,U.S Dollar,US Gallon,2026-03-15
Kansas,KS,3.134,3.482,3.813,4.3,U.S Dollar,US Gallon,2026-03-15
Kentucky,KY,3.33,3.808,4.246,4.658,U.S Dollar,US Gallon,2026-03-15
Louisiana,LA,3.365,3.791,4.179,4.665,U.S Dollar,US Gallon,2026-03-15
Massachusetts,MA,3.539,4.097,4.482,5.069,U.S Dollar,US Gallon,2026-03-15
Maryland,MD,3.603,4.153,4.479,5.123,U.S Dollar,US Gallon,2026-03-15
Maine,ME,3.568,4.098,4.579,5.155,U.S Dollar,US Gallon,2026-03-15
Michigan,MI,3.594,4.149,4.715,4.869,U.S Dollar,US Gallon,2026-03-15
Minnesota,MN,3.422,3.858,4.353,4.613,U.S Dollar,US Gallon,2026-03-15
Missouri,MO,3.225,3.61,3.93,4.356,U.S Dollar,US Gallon,2026-03-15
Mississippi,MS,3.321,3.75,4.126,4.674,U.S Dollar,US Gallon,2026-03-15
Montana,MT,3.374,3.679,4.027,4.288,U.S Dollar,US Gallon,2026-03-15
North Carolina,NC,3.515,3.946,4.338,4.958,U.S Dollar,US Gallon,2026-03-15
North Dakota,ND,3.18,3.5,3.927,4.326,U.S Dollar,US Gallon,2026-03-15
Nebraska,NE,3.311,3.488,4.006,4.368,U.S Dollar,US Gallon,2026-03-15
New Hampshire,NH,3.519,4.047,4.506,5.049,U.S Dollar,US Gallon,2026-03-15
New Jersey,NJ,3.592,4.083,4.365,5.025,U.S Dollar,US Gallon,2026-03-15
New Mexico,NM,3.768,4.193,4.518,4.899,U.S Dollar,US Gallon,2026-03-15
Nevada,NV,4.581,4.879,5.138,5.093,U.S Dollar,US Gallon,2026-03-15
New York,NY,3.604,4.083,4.477,5.116,U.S Dollar,US Gallon,2026-03-15
Ohio,OH,3.407,3.924,4.436,4.876,U.S Dollar,US Gallon,2026-03-15
Oklahoma,OK,3.216,3.649,3.943,4.257,U.S Dollar,US Gallon,2026-03-15
Oregon,OR,4.465,4.665,4.935,5.359,U.S Dollar,US Gallon,2026-03-15
Pennsylvania,PA,3.695,4.115,4.491,5.209,U.S Dollar,US Gallon,2026-03-15
Rhode Island,RI,3.543,4.204,4.615,5.09,U.S Dollar,US Gallon,2026-03-15
South Carolina,SC,3.412,3.843,4.238,4.917,U.S Dollar,US Gallon,2026-03-15
South Dakota,SD,3.258,3.402,3.933,4.251,U.S Dollar,US Gallon,2026-03-15
Tennessee,TN,3.326,3.766,4.163,4.901,U.S Dollar,US Gallon,2026-03-15
Texas,TX,3.384,3.857,4.233,4.631,U.S Dollar,US Gallon,2026-03-15
Utah,UT,3.591,3.87,4.117,4.787,U.S Dollar,US Gallon,2026-03-15
Virginia,VA,3.489,3.915,4.295,4.974,U.S Dollar,US Gallon,2026-03-15
Vermont,VT,3.602,4.061,4.534,5.179,U.S Dollar,US Gallon,2026-03-15
Washington,WA,4.888,5.107,5.363,5.964,U.S Dollar,US Gallon,2026-03-15
Wisconsin,WI,3.385,3.84,4.456,4.646,U.S Dollar,US Gallon,2026-03-15
West Virginia,WV,3.444,3.885,4.325,4.884,U.S Dollar,US Gallon,2026-03-15
Wyoming,WY,3.438,3.731,4.037,4.537,U.S Dollar,US Gallon,2026-03-15
