State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.315,3.548,3.792,3.516,U.S Dollar,US Gallon,2025-01-03
Alabama,AL,2.739,3.179,3.574,3.337,U.S Dollar,US Gallon,2025-01-03
Arkansas,AR,2.702,3.127,3.489,3.18,U.S Dollar,US Gallon,2025-01-03
Arizona,AZ,3.046,3.373,3.692,3.457,U.S Dollar,US Gallon,2025-01-03
California,CA,4.357,4.576,4.758,4.822,U.S Dollar,US Gallon,2025-01-03
Colorado,CO,2.922,3.316,3.643,3.257,U.S Dollar,US Gallon,2025-01-03
Connecticut,CT,3.021,3.647,4.004,3.667,U.S Dollar,US Gallon,2025-01-03
District of Columbia,DC,3.201,3.748,4.227,3.694,U.S Dollar,US Gallon,2025-01-03
Delaware,DE,3.081,3.615,3.926,3.472,U.S Dollar,US Gallon,2025-01-03
Florida,FL,3.132,3.576,3.886,3.495,U.S Dollar,US Gallon,2025-01-03
Georgia,GA,2.906,3.333,3.733,3.485,U.S Dollar,US Gallon,2025-01-03
Hawaii,HI,4.543,4.774,4.998,5.258,U.S Dollar,US Gallon,2025-01-03
Iowa,IA,2.763,3.104,3.541,3.276,U.S Dollar,US Gallon,2025-01-03
Idaho,ID,3.074,3.338,3.582,3.466,U.S Dollar,US Gallon,2025-01-03
Illinois,IL,3.221,3.789,4.232,3.554,U.S Dollar,US Gallon,2025-01-03
Indiana,IN,3.137,3.684,4.19,3.647,U.S Dollar,US Gallon,2025-01-03
Kansas,KS,2.681,3.003,3.315,3.192,U.S Dollar,US Gallon,2025-01-03
Kentucky,KY,2.797,3.306,3.719,3.261,U.S Dollar,US Gallon,2025-01-03
Louisiana,LA,2.705,3.131,3.518,3.208,U.S Dollar,US Gallon,2025-01-03
Massachusetts,MA,3.017,3.607,3.969,3.675,U.S Dollar,US Gallon,2025-01-03
Maryland,MD,3.121,3.685,4.003,3.549,U.S Dollar,US Gallon,2025-01-03
Maine,ME,3.031,3.544,4.021,3.791,U.S Dollar,US Gallon,2025-01-03
Michigan,MI,3.163,3.723,4.283,3.563,U.S Dollar,US Gallon,2025-01-03
Minnesota,MN,2.871,3.303,3.711,3.408,U.S Dollar,US Gallon,2025-01-03
Missouri,MO,2.719,3.089,3.391,3.159,U.S Dollar,US Gallon,2025-01-03
Mississippi,MS,2.602,3.018,3.4,3.135,U.S Dollar,US Gallon,2025-01-03
Montana,MT,2.781,3.076,3.377,3.164,U.S Dollar,US Gallon,2025-01-03
North Carolina,NC,2.864,3.306,3.692,3.417,U.S Dollar,US Gallon,2025-01-03
North Dakota,ND,2.798,3.114,3.438,3.443,U.S Dollar,US Gallon,2025-01-03
Nebraska,NE,2.823,3.057,3.502,3.21,U.S Dollar,US Gallon,2025-01-03
New Hampshire,NH,2.921,3.507,3.912,3.671,U.S Dollar,US Gallon,2025-01-03
New Jersey,NJ,2.934,3.514,3.759,3.487,U.S Dollar,US Gallon,2025-01-03
New Mexico,NM,2.853,3.267,3.565,3.304,U.S Dollar,US Gallon,2025-01-03
Nevada,NV,3.617,3.878,4.149,3.646,U.S Dollar,US Gallon,2025-01-03
New York,NY,3.123,3.621,4.012,3.839,U.S Dollar,US Gallon,2025-01-03
Ohio,OH,3.157,3.706,4.236,3.507,U.S Dollar,US Gallon,2025-01-03
Oklahoma,OK,2.573,2.946,3.252,2.984,U.S Dollar,US Gallon,2025-01-03
Oregon,OR,3.456,3.672,3.922,3.763,U.S Dollar,US Gallon,2025-01-03
Pennsylvania,PA,3.262,3.704,4.056,3.939,U.S Dollar,US Gallon,2025-01-03
Rhode Island,RI,2.936,3.63,3.968,3.705,U.S Dollar,US Gallon,2025-01-03
South Carolina,SC,2.766,3.189,3.565,3.33,U.S Dollar,US Gallon,2025-01-03
South Dakota,SD,2.845,3.058,3.517,3.254,U.S Dollar,US Gallon,2025-01-03
Tennessee,TN,2.75,3.176,3.563,3.26,U.S Dollar,US Gallon,2025-01-03
Texas,TX,2.665,3.109,3.466,3.085,U.S Dollar,US Gallon,2025-01-03
Utah,UT,3.069,3.314,3.53,3.44,U.S Dollar,US Gallon,2025-01-03
Virginia,VA,2.939,3.412,3.779,3.454,U.S Dollar,US Gallon,2025-01-03
Vermont,VT,3.095,3.625,4.022,3.593,U.S Dollar,US Gallon,2025-01-03
Washington,WA,3.903,4.16,4.388,4.287,U.S Dollar,US Gallon,2025-01-03
Wisconsin,WI,2.876,3.357,3.867,3.295,U.S Dollar,US Gallon,2025-01-03
West Virginia,WV,3.006,3.436,3.876,3.53,U.S Dollar,US Gallon,2025-01-03
Wyoming,WY,2.898,3.169,3.457,3.374,U.S Dollar,US Gallon,2025-01-03
