State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.724,3.97,4.178,4.11,U.S Dollar,US Gallon,2026-03-05
Alabama,AL,2.942,3.395,3.783,3.878,U.S Dollar,US Gallon,2026-03-05
Arkansas,AR,2.903,3.331,3.708,3.841,U.S Dollar,US Gallon,2026-03-05
Arizona,AZ,3.584,3.961,4.268,4.152,U.S Dollar,US Gallon,2026-03-05
California,CA,4.81,5.015,5.206,5.425,U.S Dollar,US Gallon,2026-03-05
Colorado,CO,3.156,3.551,3.88,3.834,U.S Dollar,US Gallon,2026-03-05
Connecticut,CT,3.113,3.688,4.08,4.29,U.S Dollar,US Gallon,2026-03-05
District of Columbia,DC,3.251,3.824,4.225,4.203,U.S Dollar,US Gallon,2026-03-05
Delaware,DE,3.154,3.71,3.98,4.273,U.S Dollar,US Gallon,2026-03-05
Florida,FL,3.241,3.686,4.012,4.233,U.S Dollar,US Gallon,2026-03-05
Georgia,GA,3.174,3.642,4.04,4.135,U.S Dollar,US Gallon,2026-03-05
Hawaii,HI,4.432,4.641,4.872,5.242,U.S Dollar,US Gallon,2026-03-05
Iowa,IA,2.986,3.172,3.827,4.015,U.S Dollar,US Gallon,2026-03-05
Idaho,ID,3.185,3.46,3.724,3.936,U.S Dollar,US Gallon,2026-03-05
Illinois,IL,3.36,3.901,4.379,4.218,U.S Dollar,US Gallon,2026-03-05
Indiana,IN,3.188,3.701,4.188,4.279,U.S Dollar,US Gallon,2026-03-05
Kansas,KS,2.838,3.164,3.497,3.686,U.S Dollar,US Gallon,2026-03-05
Kentucky,KY,2.933,3.45,3.886,3.824,U.S Dollar,US Gallon,2026-03-05
Louisiana,LA,2.908,3.371,3.732,3.783,U.S Dollar,US Gallon,2026-03-05
Massachusetts,MA,3.098,3.689,4.063,4.269,U.S Dollar,US Gallon,2026-03-05
Maryland,MD,3.24,3.791,4.096,4.379,U.S Dollar,US Gallon,2026-03-05
Maine,ME,3.152,3.7,4.149,4.543,U.S Dollar,US Gallon,2026-03-05
Michigan,MI,3.274,3.837,4.399,4.243,U.S Dollar,US Gallon,2026-03-05
Minnesota,MN,3.116,3.538,4.032,4.091,U.S Dollar,US Gallon,2026-03-05
Missouri,MO,2.927,3.284,3.606,3.754,U.S Dollar,US Gallon,2026-03-05
Mississippi,MS,2.818,3.267,3.634,3.733,U.S Dollar,US Gallon,2026-03-05
Montana,MT,2.996,3.324,3.633,3.674,U.S Dollar,US Gallon,2026-03-05
North Carolina,NC,3.044,3.493,3.874,4.06,U.S Dollar,US Gallon,2026-03-05
North Dakota,ND,2.917,3.256,3.615,3.854,U.S Dollar,US Gallon,2026-03-05
Nebraska,NE,3.022,3.178,3.687,3.78,U.S Dollar,US Gallon,2026-03-05
New Hampshire,NH,3.06,3.618,4.055,4.315,U.S Dollar,US Gallon,2026-03-05
New Jersey,NJ,3.139,3.666,3.932,4.278,U.S Dollar,US Gallon,2026-03-05
New Mexico,NM,3.076,3.516,3.814,3.987,U.S Dollar,US Gallon,2026-03-05
Nevada,NV,3.878,4.162,4.434,4.196,U.S Dollar,US Gallon,2026-03-05
New York,NY,3.16,3.667,4.039,4.241,U.S Dollar,US Gallon,2026-03-05
Ohio,OH,3.127,3.645,4.147,4.309,U.S Dollar,US Gallon,2026-03-05
Oklahoma,OK,2.791,3.192,3.488,3.675,U.S Dollar,US Gallon,2026-03-05
Oregon,OR,4.043,4.255,4.528,4.49,U.S Dollar,US Gallon,2026-03-05
Pennsylvania,PA,3.356,3.78,4.156,4.546,U.S Dollar,US Gallon,2026-03-05
Rhode Island,RI,3.097,3.841,4.245,4.3,U.S Dollar,US Gallon,2026-03-05
South Carolina,SC,2.944,3.398,3.785,3.975,U.S Dollar,US Gallon,2026-03-05
South Dakota,SD,3.0,3.161,3.646,3.752,U.S Dollar,US Gallon,2026-03-05
Tennessee,TN,2.84,3.308,3.696,3.873,U.S Dollar,US Gallon,2026-03-05
Texas,TX,2.874,3.378,3.742,3.82,U.S Dollar,US Gallon,2026-03-05
Utah,UT,2.974,3.262,3.493,3.883,U.S Dollar,US Gallon,2026-03-05
Virginia,VA,3.103,3.571,3.935,4.088,U.S Dollar,US Gallon,2026-03-05
Vermont,VT,3.161,3.657,4.094,4.401,U.S Dollar,US Gallon,2026-03-05
Washington,WA,4.449,4.705,4.945,5.1,U.S Dollar,US Gallon,2026-03-05
Wisconsin,WI,2.965,3.402,4.034,4.034,U.S Dollar,US Gallon,2026-03-05
West Virginia,WV,3.167,3.589,4.029,4.149,U.S Dollar,US Gallon,2026-03-05
Wyoming,WY,2.908,3.223,3.511,3.832,U.S Dollar,US Gallon,2026-03-05
