State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.31,3.519,3.719,3.535,U.S Dollar,US Gallon,2025-02-03
Alabama,AL,2.801,3.219,3.612,3.469,U.S Dollar,US Gallon,2025-02-03
Arkansas,AR,2.747,3.142,3.529,3.302,U.S Dollar,US Gallon,2025-02-03
Arizona,AZ,3.252,3.583,3.888,3.63,U.S Dollar,US Gallon,2025-02-03
California,CA,4.471,4.683,4.87,4.974,U.S Dollar,US Gallon,2025-02-03
Colorado,CO,2.974,3.367,3.695,3.364,U.S Dollar,US Gallon,2025-02-03
Connecticut,CT,3.084,3.684,4.033,3.855,U.S Dollar,US Gallon,2025-02-03
District of Columbia,DC,3.276,3.84,4.253,3.795,U.S Dollar,US Gallon,2025-02-03
Delaware,DE,3.11,3.656,3.941,3.706,U.S Dollar,US Gallon,2025-02-03
Florida,FL,3.057,3.485,3.807,3.67,U.S Dollar,US Gallon,2025-02-03
Georgia,GA,2.93,3.342,3.739,3.628,U.S Dollar,US Gallon,2025-02-03
Hawaii,HI,4.54,4.776,5.032,5.326,U.S Dollar,US Gallon,2025-02-03
Iowa,IA,2.9,3.229,3.671,3.402,U.S Dollar,US Gallon,2025-02-03
Idaho,ID,3.098,3.357,3.591,3.486,U.S Dollar,US Gallon,2025-02-03
Illinois,IL,3.255,3.814,4.255,3.616,U.S Dollar,US Gallon,2025-02-03
Indiana,IN,2.935,3.458,3.95,3.659,U.S Dollar,US Gallon,2025-02-03
Kansas,KS,2.823,3.154,3.455,3.316,U.S Dollar,US Gallon,2025-02-03
Kentucky,KY,2.769,3.268,3.676,3.319,U.S Dollar,US Gallon,2025-02-03
Louisiana,LA,2.782,3.195,3.582,3.367,U.S Dollar,US Gallon,2025-02-03
Massachusetts,MA,3.029,3.605,3.982,3.808,U.S Dollar,US Gallon,2025-02-03
Maryland,MD,3.205,3.757,4.08,3.799,U.S Dollar,US Gallon,2025-02-03
Maine,ME,3.079,3.628,4.074,3.956,U.S Dollar,US Gallon,2025-02-03
Michigan,MI,3.027,3.554,4.106,3.545,U.S Dollar,US Gallon,2025-02-03
Minnesota,MN,2.942,3.308,3.723,3.456,U.S Dollar,US Gallon,2025-02-03
Missouri,MO,2.86,3.22,3.522,3.319,U.S Dollar,US Gallon,2025-02-03
Mississippi,MS,2.675,3.094,3.455,3.3,U.S Dollar,US Gallon,2025-02-03
Montana,MT,2.994,3.276,3.631,3.36,U.S Dollar,US Gallon,2025-02-03
North Carolina,NC,2.843,3.259,3.651,3.556,U.S Dollar,US Gallon,2025-02-03
North Dakota,ND,2.927,3.228,3.569,3.514,U.S Dollar,US Gallon,2025-02-03
Nebraska,NE,2.952,3.203,3.66,3.344,U.S Dollar,US Gallon,2025-02-03
New Hampshire,NH,2.971,3.529,3.943,3.796,U.S Dollar,US Gallon,2025-02-03
New Jersey,NJ,3.068,3.609,3.869,3.768,U.S Dollar,US Gallon,2025-02-03
New Mexico,NM,2.895,3.298,3.595,3.518,U.S Dollar,US Gallon,2025-02-03
Nevada,NV,3.682,3.98,4.227,3.768,U.S Dollar,US Gallon,2025-02-03
New York,NY,3.168,3.67,4.053,3.951,U.S Dollar,US Gallon,2025-02-03
Ohio,OH,2.854,3.367,3.88,3.534,U.S Dollar,US Gallon,2025-02-03
Oklahoma,OK,2.685,3.064,3.357,3.135,U.S Dollar,US Gallon,2025-02-03
Oregon,OR,3.561,3.778,4.022,3.828,U.S Dollar,US Gallon,2025-02-03
Pennsylvania,PA,3.343,3.771,4.127,4.079,U.S Dollar,US Gallon,2025-02-03
Rhode Island,RI,3.003,3.703,4.074,3.812,U.S Dollar,US Gallon,2025-02-03
South Carolina,SC,2.772,3.18,3.551,3.467,U.S Dollar,US Gallon,2025-02-03
South Dakota,SD,2.944,3.146,3.606,3.364,U.S Dollar,US Gallon,2025-02-03
Tennessee,TN,2.803,3.213,3.596,3.411,U.S Dollar,US Gallon,2025-02-03
Texas,TX,2.712,3.149,3.506,3.316,U.S Dollar,US Gallon,2025-02-03
Utah,UT,3.042,3.29,3.512,3.446,U.S Dollar,US Gallon,2025-02-03
Virginia,VA,3.038,3.499,3.869,3.677,U.S Dollar,US Gallon,2025-02-03
Vermont,VT,3.132,3.667,4.088,3.76,U.S Dollar,US Gallon,2025-02-03
Washington,WA,3.963,4.18,4.43,4.357,U.S Dollar,US Gallon,2025-02-03
Wisconsin,WI,2.889,3.375,3.87,3.377,U.S Dollar,US Gallon,2025-02-03
West Virginia,WV,2.936,3.334,3.755,3.581,U.S Dollar,US Gallon,2025-02-03
Wyoming,WY,2.97,3.233,3.534,3.397,U.S Dollar,US Gallon,2025-02-03
