State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.487,3.767,4.012,3.802,U.S Dollar,US Gallon,2026-02-19
Alaska,AK,Fairbanks,3.338,3.525,3.723,3.785,U.S Dollar,US Gallon,2026-02-19
Alaska,AK,Juneau,3.752,3.784,3.857,4.381,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Anniston-Oxford,2.587,2.996,3.355,3.329,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Auburn,2.572,2.989,3.422,3.372,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Birmingham,2.614,3.099,3.513,3.418,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Daphne-Fairhope-Foley,2.673,3.112,3.528,3.397,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Decatur,2.627,3.103,3.502,3.327,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Dothan,2.605,3.012,3.424,3.477,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Florence-Muscle Shoals,2.696,3.197,3.57,3.321,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Gadsden,2.6,3.085,3.515,3.367,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Huntsville,2.645,3.132,3.485,3.355,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Mobile,2.637,3.068,3.456,3.439,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Montgomery,2.656,3.124,3.555,3.402,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Russell County,2.628,3.089,3.573,3.457,U.S Dollar,US Gallon,2026-02-19
Alabama,AL,Tuscaloosa,2.593,3.037,3.467,3.364,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,Fayetteville-Springdale-Rogers,2.408,2.783,3.103,3.242,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,Fort Smith (AR only),2.378,2.784,3.128,3.261,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,Hot Springs,2.391,2.949,3.297,3.268,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,Jonesboro,2.462,2.847,3.309,3.37,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,Little Rock-North Little Rock,2.418,2.926,3.292,3.246,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,Pine Bluff,2.469,2.999,3.288,3.293,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,Texarkana (AR only),2.597,3.089,3.421,3.287,U.S Dollar,US Gallon,2026-02-19
Arkansas,AR,West Memphis,2.579,3.019,3.534,3.437,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,East Valley,3.388,3.793,4.093,3.477,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Flagstaff,3.174,3.443,3.838,3.733,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Glendale,3.365,3.761,4.091,3.423,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Lake Havasu-Kingman,2.987,3.299,3.58,3.698,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Peoria,3.346,3.702,4.093,3.408,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Phoenix Proper,3.385,3.799,4.111,3.449,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Phoenix-Mesa,3.355,3.756,4.072,3.475,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Pima County,2.933,3.336,3.629,3.413,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Prescott,3.035,3.325,3.678,3.548,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Scottsdale,3.453,3.804,4.129,3.689,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Sierra Vista-Douglas,2.99,3.305,3.596,3.626,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Tucson,2.932,3.33,3.624,3.418,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,West Valley,3.345,3.721,4.071,3.398,U.S Dollar,US Gallon,2026-02-19
Arizona,AZ,Yuma,2.973,3.393,3.675,3.588,U.S Dollar,US Gallon,2026-02-19
California,CA,Bakersfield,4.491,4.734,4.94,5.039,U.S Dollar,US Gallon,2026-02-19
California,CA,Chico-Paradise,4.458,4.628,4.799,4.793,U.S Dollar,US Gallon,2026-02-19
California,CA,El Centro,4.221,4.368,4.598,4.813,U.S Dollar,US Gallon,2026-02-19
California,CA,Fresno,4.569,4.829,5.043,4.995,U.S Dollar,US Gallon,2026-02-19
California,CA,Hanford-Corcoran,4.479,4.69,4.904,4.952,U.S Dollar,US Gallon,2026-02-19
California,CA,Los Angeles-Long Beach,4.627,4.86,5.017,5.077,U.S Dollar,US Gallon,2026-02-19
California,CA,Madera-Chowchilla,4.589,4.853,5.081,5.049,U.S Dollar,US Gallon,2026-02-19
California,CA,Merced,4.491,4.744,4.98,5.043,U.S Dollar,US Gallon,2026-02-19
California,CA,Modesto,4.481,4.792,4.96,5.078,U.S Dollar,US Gallon,2026-02-19
California,CA,Napa,4.794,4.98,5.181,5.118,U.S Dollar,US Gallon,2026-02-19
California,CA,Oakland,4.693,4.929,5.125,5.145,U.S Dollar,US Gallon,2026-02-19
California,CA,Orange County,4.561,4.78,4.94,4.924,U.S Dollar,US Gallon,2026-02-19
California,CA,Redding,4.416,4.57,4.746,4.829,U.S Dollar,US Gallon,2026-02-19
California,CA,Riverside,4.484,4.728,4.9,4.951,U.S Dollar,US Gallon,2026-02-19
California,CA,Sacramento,4.629,4.878,5.102,5.048,U.S Dollar,US Gallon,2026-02-19
California,CA,Salinas,4.775,4.929,5.146,5.237,U.S Dollar,US Gallon,2026-02-19
California,CA,San Bernardino,4.46,4.682,4.857,4.973,U.S Dollar,US Gallon,2026-02-19
California,CA,San Diego,4.62,4.832,4.999,4.98,U.S Dollar,US Gallon,2026-02-19
California,CA,San Francisco,4.806,5.036,5.215,5.285,U.S Dollar,US Gallon,2026-02-19
California,CA,San Jose,4.62,4.855,5.037,5.167,U.S Dollar,US Gallon,2026-02-19
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.751,4.957,5.152,5.291,U.S Dollar,US Gallon,2026-02-19
California,CA,San Rafael,4.845,5.038,5.253,5.34,U.S Dollar,US Gallon,2026-02-19
California,CA,Santa Barbara-Santa Maria-Lompoc,4.518,4.704,4.891,5.067,U.S Dollar,US Gallon,2026-02-19
California,CA,Santa Cruz-Watsonville,4.663,4.915,5.146,5.123,U.S Dollar,US Gallon,2026-02-19
California,CA,Santa Rosa,4.793,5.015,5.209,5.258,U.S Dollar,US Gallon,2026-02-19
California,CA,Stockton-Lodi,4.512,4.769,4.996,4.985,U.S Dollar,US Gallon,2026-02-19
California,CA,Vallejo-Fairfield,4.601,4.889,5.074,5.06,U.S Dollar,US Gallon,2026-02-19
California,CA,Ventura,4.564,4.803,4.959,5.098,U.S Dollar,US Gallon,2026-02-19
California,CA,Visalia-Tulare-Porterville,4.557,4.809,5.042,5.069,U.S Dollar,US Gallon,2026-02-19
California,CA,Yolo,4.553,4.842,5.095,5.011,U.S Dollar,US Gallon,2026-02-19
California,CA,Yuba City,4.391,4.651,4.818,4.847,U.S Dollar,US Gallon,2026-02-19
Colorado,CO,Boulder-Longmont,2.743,3.201,3.548,3.482,U.S Dollar,US Gallon,2026-02-19
Colorado,CO,Colorado Springs,2.626,3.027,3.359,3.32,U.S Dollar,US Gallon,2026-02-19
Colorado,CO,Denver,2.643,3.085,3.411,3.345,U.S Dollar,US Gallon,2026-02-19
