State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.592,3.858,4.049,3.639,U.S Dollar,US Gallon,2025-06-17
Alaska,AK,Fairbanks,3.708,4.06,4.105,3.755,U.S Dollar,US Gallon,2025-06-17
Alaska,AK,Juneau,3.749,3.673,3.846,4.168,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Anniston-Oxford,2.793,3.132,3.583,3.246,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Auburn,2.771,3.182,3.554,3.266,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Birmingham,2.77,3.239,3.653,3.349,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Daphne-Fairhope-Foley,2.807,3.242,3.643,3.267,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Decatur,2.709,3.166,3.524,3.217,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Dothan,2.795,3.245,3.647,3.427,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Florence-Muscle Shoals,2.785,3.205,3.595,3.228,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Gadsden,2.686,3.113,3.545,3.186,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Huntsville,2.748,3.185,3.532,3.287,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Mobile,2.79,3.254,3.606,3.292,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Montgomery,2.813,3.273,3.686,3.3,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Russell County,2.803,3.181,3.619,3.403,U.S Dollar,US Gallon,2025-06-17
Alabama,AL,Tuscaloosa,2.723,3.18,3.602,3.269,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,Fayetteville-Springdale-Rogers,2.871,3.246,3.588,3.235,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,Fort Smith (AR only),2.77,3.209,3.509,3.189,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,Hot Springs,2.739,3.24,3.593,3.198,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,Jonesboro,2.751,3.181,3.547,3.283,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,Little Rock-North Little Rock,2.763,3.205,3.595,3.193,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,Pine Bluff,2.709,3.338,3.67,3.253,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,Texarkana (AR only),2.894,3.394,3.796,3.28,U.S Dollar,US Gallon,2025-06-17
Arkansas,AR,West Memphis,2.805,3.215,3.745,3.269,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,East Valley,3.458,3.817,4.127,3.439,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,Flagstaff,3.182,3.406,3.819,3.458,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,Glendale,3.448,3.799,4.089,3.476,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,Lake Havasu-Kingman,3.147,3.395,3.744,3.568,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,Peoria,3.445,3.803,4.089,3.479,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,Phoenix Proper,3.418,3.761,4.078,3.427,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,Phoenix-Mesa,3.432,3.788,4.094,3.458,U.S Dollar,US Gallon,2025-06-17
Arizona,AZ,Pima County,3.019,3.342,3.653,3.328,U.S Dollar,US Gallon,2025-06-17
