State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.506,3.842,4.056,3.806,U.S Dollar,US Gallon,2026-01-08
Alaska,AK,Fairbanks,3.439,3.563,3.806,3.816,U.S Dollar,US Gallon,2026-01-08
Alaska,AK,Juneau,3.755,3.784,3.904,4.482,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Anniston-Oxford,2.448,2.841,3.223,3.199,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Auburn,2.523,2.978,3.328,3.265,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Birmingham,2.546,3.05,3.457,3.313,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Daphne-Fairhope-Foley,2.482,2.933,3.317,3.249,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Decatur,2.44,2.938,3.267,3.213,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Dothan,2.545,2.972,3.365,3.416,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Florence-Muscle Shoals,2.506,2.912,3.304,3.282,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Gadsden,2.47,2.942,3.354,3.173,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Huntsville,2.519,2.978,3.326,3.305,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Mobile,2.47,2.916,3.289,3.203,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Montgomery,2.523,2.977,3.401,3.252,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Russell County,2.506,3.035,3.407,3.465,U.S Dollar,US Gallon,2026-01-08
Alabama,AL,Tuscaloosa,2.467,2.914,3.337,3.282,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,Fayetteville-Springdale-Rogers,2.329,2.762,3.048,3.181,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,Fort Smith (AR only),2.321,2.754,3.073,3.158,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,Hot Springs,2.346,2.881,3.244,3.199,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,Jonesboro,2.356,2.696,3.185,3.236,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,Little Rock-North Little Rock,2.298,2.802,3.188,3.145,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,Pine Bluff,2.51,3.093,3.409,3.172,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,Texarkana (AR only),2.5,2.953,3.365,3.139,U.S Dollar,US Gallon,2026-01-08
Arkansas,AR,West Memphis,2.365,2.842,3.434,3.277,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,East Valley,3.081,3.457,3.764,3.409,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Flagstaff,3.171,3.49,3.82,3.713,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Glendale,2.98,3.358,3.718,3.3,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Lake Havasu-Kingman,2.877,3.188,3.502,3.58,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Peoria,2.941,3.337,3.673,3.336,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Phoenix Proper,3.042,3.429,3.747,3.359,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Phoenix-Mesa,3.034,3.419,3.735,3.389,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Pima County,2.833,3.231,3.537,3.373,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Prescott,3.006,3.355,3.706,3.54,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Scottsdale,3.177,3.536,3.865,3.601,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Sierra Vista-Douglas,2.968,3.31,3.575,3.549,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Tucson,2.838,3.236,3.54,3.377,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,West Valley,2.965,3.348,3.691,3.305,U.S Dollar,US Gallon,2026-01-08
Arizona,AZ,Yuma,2.977,3.389,3.681,3.547,U.S Dollar,US Gallon,2026-01-08
California,CA,Bakersfield,4.309,4.499,4.748,4.921,U.S Dollar,US Gallon,2026-01-08
California,CA,Chico-Paradise,3.921,4.128,4.357,4.528,U.S Dollar,US Gallon,2026-01-08
California,CA,El Centro,4.064,4.254,4.514,4.735,U.S Dollar,US Gallon,2026-01-08
California,CA,Fresno,4.135,4.405,4.633,4.936,U.S Dollar,US Gallon,2026-01-08
California,CA,Hanford-Corcoran,4.141,4.419,4.632,4.785,U.S Dollar,US Gallon,2026-01-08
California,CA,Los Angeles-Long Beach,4.385,4.622,4.774,4.958,U.S Dollar,US Gallon,2026-01-08
California,CA,Madera-Chowchilla,4.082,4.452,4.649,4.997,U.S Dollar,US Gallon,2026-01-08
California,CA,Merced,3.973,4.398,4.598,4.937,U.S Dollar,US Gallon,2026-01-08
California,CA,Modesto,3.951,4.229,4.443,4.877,U.S Dollar,US Gallon,2026-01-08
California,CA,Napa,4.437,4.628,4.835,4.874,U.S Dollar,US Gallon,2026-01-08
California,CA,Oakland,4.195,4.454,4.638,5.004,U.S Dollar,US Gallon,2026-01-08
California,CA,Orange County,4.267,4.497,4.644,4.78,U.S Dollar,US Gallon,2026-01-08
California,CA,Redding,3.834,3.996,4.186,4.65,U.S Dollar,US Gallon,2026-01-08
California,CA,Riverside,4.133,4.377,4.55,4.799,U.S Dollar,US Gallon,2026-01-08
California,CA,Sacramento,4.086,4.334,4.543,4.848,U.S Dollar,US Gallon,2026-01-08
California,CA,Salinas,4.312,4.46,4.714,5.123,U.S Dollar,US Gallon,2026-01-08
California,CA,San Bernardino,4.168,4.371,4.557,4.827,U.S Dollar,US Gallon,2026-01-08
California,CA,San Diego,4.426,4.649,4.841,4.87,U.S Dollar,US Gallon,2026-01-08
California,CA,San Francisco,4.273,4.531,4.686,5.069,U.S Dollar,US Gallon,2026-01-08
California,CA,San Jose,4.106,4.335,4.521,4.985,U.S Dollar,US Gallon,2026-01-08
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.441,4.633,4.816,5.146,U.S Dollar,US Gallon,2026-01-08
California,CA,San Rafael,4.245,4.478,4.677,4.976,U.S Dollar,US Gallon,2026-01-08
California,CA,Santa Barbara-Santa Maria-Lompoc,4.354,4.542,4.717,4.985,U.S Dollar,US Gallon,2026-01-08
California,CA,Santa Cruz-Watsonville,4.271,4.554,4.79,5.053,U.S Dollar,US Gallon,2026-01-08
California,CA,Santa Rosa,4.279,4.498,4.688,4.944,U.S Dollar,US Gallon,2026-01-08
California,CA,Stockton-Lodi,3.912,4.19,4.424,4.747,U.S Dollar,US Gallon,2026-01-08
California,CA,Vallejo-Fairfield,4.134,4.403,4.61,4.899,U.S Dollar,US Gallon,2026-01-08
California,CA,Ventura,4.342,4.581,4.742,5.019,U.S Dollar,US Gallon,2026-01-08
