State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,5.242,5.533,5.767,5.889,U.S Dollar,US Gallon,2026-05-20
Alaska,AK,Fairbanks,5.298,5.575,5.769,5.798,U.S Dollar,US Gallon,2026-05-20
Alaska,AK,Juneau,4.832,4.921,5.029,6.023,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Anniston-Oxford,4.122,4.547,4.94,5.248,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Auburn,4.174,4.625,5.006,5.126,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Birmingham,4.16,4.639,5.024,5.269,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Daphne-Fairhope-Foley,4.128,4.59,4.992,5.167,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Decatur,4.107,4.538,4.896,5.244,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Dothan,4.205,4.569,5.012,5.317,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Florence-Muscle Shoals,4.172,4.61,4.995,5.188,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Gadsden,4.071,4.498,4.915,5.17,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Huntsville,4.141,4.586,4.941,5.275,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Mobile,4.117,4.581,4.958,5.192,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Montgomery,4.193,4.645,5.079,5.202,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Russell County,4.192,4.634,5.094,5.318,U.S Dollar,US Gallon,2026-05-20
Alabama,AL,Tuscaloosa,4.124,4.605,5.001,5.23,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,Fayetteville-Springdale-Rogers,4.115,4.495,4.831,5.105,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,Fort Smith (AR only),4.081,4.491,4.853,5.155,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,Hot Springs,4.077,4.646,5.087,5.168,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,Jonesboro,4.101,4.479,4.892,5.184,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,Little Rock-North Little Rock,4.09,4.61,4.973,5.143,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,Pine Bluff,4.063,4.446,4.979,5.255,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,Texarkana (AR only),4.132,4.662,4.92,5.057,U.S Dollar,US Gallon,2026-05-20
Arkansas,AR,West Memphis,4.1,4.514,4.944,5.22,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,East Valley,4.873,5.263,5.576,5.697,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Flagstaff,4.888,5.19,5.495,5.919,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Glendale,4.857,5.243,5.57,5.694,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Lake Havasu-Kingman,4.844,5.168,5.443,5.992,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Peoria,4.873,5.316,5.64,5.784,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Phoenix Proper,4.856,5.265,5.574,5.71,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Phoenix-Mesa,4.856,5.265,5.583,5.723,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Pima County,4.749,5.129,5.436,5.721,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Prescott,4.845,5.168,5.486,5.933,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Scottsdale,4.992,5.351,5.707,5.862,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Sierra Vista-Douglas,4.716,4.985,5.323,5.713,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Tucson,4.745,5.124,5.435,5.723,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,West Valley,4.846,5.249,5.582,5.722,U.S Dollar,US Gallon,2026-05-20
Arizona,AZ,Yuma,4.898,5.173,5.49,6.002,U.S Dollar,US Gallon,2026-05-20
California,CA,Bakersfield,6.055,6.291,6.505,7.391,U.S Dollar,US Gallon,2026-05-20
California,CA,Chico-Paradise,5.939,6.13,6.311,7.258,U.S Dollar,US Gallon,2026-05-20
