State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.487,3.819,4.053,3.788,U.S Dollar,US Gallon,2026-01-10
Alaska,AK,Fairbanks,3.388,3.565,3.851,3.755,U.S Dollar,US Gallon,2026-01-10
Alaska,AK,Juneau,3.688,3.812,3.909,4.478,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Anniston-Oxford,2.426,2.83,3.162,3.193,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Auburn,2.512,2.959,3.352,3.215,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Birmingham,2.524,3.014,3.426,3.304,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Daphne-Fairhope-Foley,2.461,2.909,3.344,3.239,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Decatur,2.428,2.914,3.28,3.201,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Dothan,2.539,2.954,3.355,3.411,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Florence-Muscle Shoals,2.478,2.93,3.264,3.252,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Gadsden,2.426,2.917,3.288,3.188,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Huntsville,2.498,2.938,3.272,3.285,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Mobile,2.45,2.857,3.262,3.198,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Montgomery,2.501,2.95,3.356,3.228,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Russell County,2.504,3.013,3.47,3.475,U.S Dollar,US Gallon,2026-01-10
Alabama,AL,Tuscaloosa,2.449,2.863,3.266,3.247,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,Fayetteville-Springdale-Rogers,2.312,2.714,2.994,3.168,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,Fort Smith (AR only),2.317,2.762,3.052,3.138,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,Hot Springs,2.342,2.894,3.272,3.192,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,Jonesboro,2.348,2.731,3.179,3.236,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,Little Rock-North Little Rock,2.283,2.793,3.156,3.127,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,Pine Bluff,2.516,3.073,3.41,3.189,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,Texarkana (AR only),2.475,2.948,3.316,3.094,U.S Dollar,US Gallon,2026-01-10
Arkansas,AR,West Memphis,2.359,2.848,3.312,3.231,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,East Valley,3.041,3.429,3.744,3.374,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Flagstaff,3.165,3.474,3.814,3.72,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Glendale,2.933,3.301,3.666,3.263,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Lake Havasu-Kingman,2.884,3.144,3.45,3.566,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Peoria,2.906,3.324,3.638,3.319,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Phoenix Proper,3.014,3.398,3.721,3.324,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Phoenix-Mesa,3.002,3.393,3.712,3.354,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Pima County,2.816,3.201,3.515,3.368,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Prescott,3.01,3.333,3.666,3.506,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Scottsdale,3.139,3.496,3.826,3.581,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Sierra Vista-Douglas,2.948,3.273,3.561,3.514,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Tucson,2.822,3.21,3.52,3.37,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,West Valley,2.923,3.312,3.645,3.274,U.S Dollar,US Gallon,2026-01-10
Arizona,AZ,Yuma,2.972,3.368,3.665,3.539,U.S Dollar,US Gallon,2026-01-10
California,CA,Bakersfield,4.241,4.514,4.744,4.903,U.S Dollar,US Gallon,2026-01-10
California,CA,Chico-Paradise,3.905,4.069,4.291,4.561,U.S Dollar,US Gallon,2026-01-10
California,CA,El Centro,3.957,4.304,4.494,4.772,U.S Dollar,US Gallon,2026-01-10
California,CA,Fresno,4.117,4.427,4.583,4.906,U.S Dollar,US Gallon,2026-01-10
California,CA,Hanford-Corcoran,4.137,4.403,4.603,4.724,U.S Dollar,US Gallon,2026-01-10
California,CA,Los Angeles-Long Beach,4.365,4.611,4.76,4.934,U.S Dollar,US Gallon,2026-01-10
California,CA,Madera-Chowchilla,4.123,4.451,4.645,4.988,U.S Dollar,US Gallon,2026-01-10
California,CA,Merced,3.961,4.354,4.553,4.858,U.S Dollar,US Gallon,2026-01-10
California,CA,Modesto,3.917,4.197,4.442,4.864,U.S Dollar,US Gallon,2026-01-10
California,CA,Napa,4.428,4.614,4.784,4.871,U.S Dollar,US Gallon,2026-01-10
