State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.637,3.963,4.174,3.892,U.S Dollar,US Gallon,2025-12-08
Alaska,AK,Fairbanks,3.624,3.863,4.061,4.021,U.S Dollar,US Gallon,2025-12-08
Alaska,AK,Juneau,3.728,3.822,3.899,4.443,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Anniston-Oxford,2.616,2.965,3.33,3.244,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Auburn,2.629,3.042,3.478,3.349,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Birmingham,2.666,3.145,3.546,3.443,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Daphne-Fairhope-Foley,2.635,3.068,3.473,3.422,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Decatur,2.567,3.026,3.325,3.335,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Dothan,2.704,3.11,3.528,3.538,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Florence-Muscle Shoals,2.639,3.064,3.421,3.333,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Gadsden,2.524,2.98,3.38,3.298,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Huntsville,2.642,3.094,3.42,3.4,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Mobile,2.598,3.032,3.396,3.381,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Montgomery,2.639,3.059,3.498,3.377,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Russell County,2.697,3.175,3.575,3.49,U.S Dollar,US Gallon,2025-12-08
Alabama,AL,Tuscaloosa,2.605,2.965,3.415,3.377,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,Fayetteville-Springdale-Rogers,2.468,2.836,3.131,3.333,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,Fort Smith (AR only),2.394,2.75,3.096,3.334,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,Hot Springs,2.435,2.943,3.325,3.351,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,Jonesboro,2.498,2.866,3.235,3.371,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,Little Rock-North Little Rock,2.428,2.915,3.276,3.33,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,Pine Bluff,2.615,3.141,3.548,3.409,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,Texarkana (AR only),2.595,3.11,3.505,3.276,U.S Dollar,US Gallon,2025-12-08
Arkansas,AR,West Memphis,2.51,2.903,3.456,3.533,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,East Valley,3.434,3.797,4.112,3.607,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Flagstaff,3.216,3.521,3.882,3.782,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Glendale,3.329,3.685,4.031,3.572,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Lake Havasu-Kingman,3.149,3.372,3.68,3.74,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Peoria,3.227,3.633,3.944,3.594,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Phoenix Proper,3.371,3.75,4.065,3.555,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Phoenix-Mesa,3.367,3.745,4.059,3.595,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Pima County,2.942,3.314,3.629,3.513,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Prescott,3.14,3.462,3.788,3.666,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Scottsdale,3.509,3.881,4.191,3.748,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Sierra Vista-Douglas,3.059,3.348,3.618,3.595,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Tucson,2.947,3.322,3.635,3.516,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,West Valley,3.295,3.669,4.001,3.568,U.S Dollar,US Gallon,2025-12-08
Arizona,AZ,Yuma,3.142,3.537,3.836,3.657,U.S Dollar,US Gallon,2025-12-08
California,CA,Bakersfield,4.475,4.752,5.016,5.121,U.S Dollar,US Gallon,2025-12-08
California,CA,Chico-Paradise,4.201,4.391,4.582,4.795,U.S Dollar,US Gallon,2025-12-08
California,CA,El Centro,4.335,4.551,4.754,4.98,U.S Dollar,US Gallon,2025-12-08
California,CA,Fresno,4.357,4.588,4.813,5.11,U.S Dollar,US Gallon,2025-12-08
California,CA,Hanford-Corcoran,4.29,4.504,4.694,5.043,U.S Dollar,US Gallon,2025-12-08
California,CA,Los Angeles-Long Beach,4.632,4.851,5.023,5.089,U.S Dollar,US Gallon,2025-12-08
California,CA,Madera-Chowchilla,4.367,4.696,4.909,5.139,U.S Dollar,US Gallon,2025-12-08
California,CA,Merced,4.242,4.636,4.86,5.124,U.S Dollar,US Gallon,2025-12-08
California,CA,Modesto,4.15,4.405,4.623,5.023,U.S Dollar,US Gallon,2025-12-08
California,CA,Napa,4.588,4.745,4.963,5.113,U.S Dollar,US Gallon,2025-12-08
California,CA,Oakland,4.371,4.624,4.816,5.178,U.S Dollar,US Gallon,2025-12-08
California,CA,Orange County,4.544,4.762,4.927,4.942,U.S Dollar,US Gallon,2025-12-08
California,CA,Redding,4.105,4.294,4.461,4.829,U.S Dollar,US Gallon,2025-12-08
