State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.468,3.799,4.032,3.773,U.S Dollar,US Gallon,2026-01-23
Alaska,AK,Fairbanks,3.274,3.45,3.744,3.77,U.S Dollar,US Gallon,2026-01-23
Alaska,AK,Juneau,3.739,3.749,3.837,4.467,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Anniston-Oxford,2.473,2.854,3.265,3.247,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Auburn,2.489,2.857,3.281,3.26,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Birmingham,2.507,3.01,3.401,3.311,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Daphne-Fairhope-Foley,2.581,3.027,3.43,3.297,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Decatur,2.466,2.946,3.286,3.221,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Dothan,2.506,2.902,3.299,3.407,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Florence-Muscle Shoals,2.509,2.9,3.31,3.248,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Gadsden,2.461,2.953,3.373,3.188,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Huntsville,2.523,2.967,3.316,3.273,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Mobile,2.527,2.976,3.321,3.282,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Montgomery,2.545,3.006,3.416,3.309,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Russell County,2.562,3.026,3.449,3.42,U.S Dollar,US Gallon,2026-01-23
Alabama,AL,Tuscaloosa,2.495,2.961,3.376,3.319,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,Fayetteville-Springdale-Rogers,2.496,2.916,3.207,3.117,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,Fort Smith (AR only),2.344,2.765,3.105,3.132,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,Hot Springs,2.422,2.994,3.344,3.155,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,Jonesboro,2.375,2.765,3.318,3.279,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,Little Rock-North Little Rock,2.368,2.889,3.264,3.144,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,Pine Bluff,2.454,3.011,3.318,3.096,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,Texarkana (AR only),2.535,3.065,3.424,3.212,U.S Dollar,US Gallon,2026-01-23
Arkansas,AR,West Memphis,2.445,2.988,3.42,3.442,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,East Valley,3.01,3.402,3.727,3.353,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Flagstaff,3.17,3.48,3.83,3.744,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Glendale,2.955,3.357,3.628,3.283,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Lake Havasu-Kingman,2.872,3.196,3.498,3.571,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Peoria,2.943,3.356,3.645,3.301,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Phoenix Proper,2.999,3.399,3.706,3.345,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Phoenix-Mesa,2.994,3.394,3.697,3.359,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Pima County,2.85,3.247,3.539,3.358,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Prescott,3.003,3.28,3.67,3.534,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Scottsdale,3.124,3.48,3.808,3.597,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Sierra Vista-Douglas,2.937,3.236,3.548,3.53,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Tucson,2.854,3.249,3.545,3.364,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,West Valley,2.947,3.358,3.634,3.276,U.S Dollar,US Gallon,2026-01-23
Arizona,AZ,Yuma,2.968,3.393,3.697,3.529,U.S Dollar,US Gallon,2026-01-23
California,CA,Bakersfield,4.216,4.47,4.725,4.957,U.S Dollar,US Gallon,2026-01-23
California,CA,Chico-Paradise,3.906,4.094,4.34,4.572,U.S Dollar,US Gallon,2026-01-23
California,CA,El Centro,3.937,4.237,4.443,4.736,U.S Dollar,US Gallon,2026-01-23
California,CA,Fresno,4.096,4.346,4.538,4.894,U.S Dollar,US Gallon,2026-01-23
California,CA,Hanford-Corcoran,4.128,4.368,4.512,4.78,U.S Dollar,US Gallon,2026-01-23
California,CA,Los Angeles-Long Beach,4.353,4.598,4.751,4.955,U.S Dollar,US Gallon,2026-01-23
California,CA,Madera-Chowchilla,4.122,4.501,4.719,5.037,U.S Dollar,US Gallon,2026-01-23
California,CA,Merced,4.011,4.308,4.512,4.915,U.S Dollar,US Gallon,2026-01-23
California,CA,Modesto,3.912,4.177,4.41,4.861,U.S Dollar,US Gallon,2026-01-23
California,CA,Napa,4.427,4.604,4.762,4.765,U.S Dollar,US Gallon,2026-01-23
California,CA,Oakland,4.22,4.457,4.656,4.952,U.S Dollar,US Gallon,2026-01-23
California,CA,Orange County,4.236,4.461,4.618,4.793,U.S Dollar,US Gallon,2026-01-23
California,CA,Redding,3.83,3.995,4.245,4.61,U.S Dollar,US Gallon,2026-01-23
California,CA,Riverside,4.129,4.374,4.553,4.804,U.S Dollar,US Gallon,2026-01-23
California,CA,Sacramento,4.065,4.342,4.543,4.829,U.S Dollar,US Gallon,2026-01-23
California,CA,Salinas,4.286,4.477,4.67,5.055,U.S Dollar,US Gallon,2026-01-23
California,CA,San Bernardino,4.151,4.354,4.533,4.817,U.S Dollar,US Gallon,2026-01-23
California,CA,San Diego,4.394,4.615,4.782,4.864,U.S Dollar,US Gallon,2026-01-23
California,CA,San Francisco,4.331,4.53,4.703,5.058,U.S Dollar,US Gallon,2026-01-23
California,CA,San Jose,4.116,4.333,4.521,4.964,U.S Dollar,US Gallon,2026-01-23
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.42,4.598,4.817,5.177,U.S Dollar,US Gallon,2026-01-23
California,CA,San Rafael,4.291,4.527,4.698,5.021,U.S Dollar,US Gallon,2026-01-23
California,CA,Santa Barbara-Santa Maria-Lompoc,4.294,4.487,4.65,4.959,U.S Dollar,US Gallon,2026-01-23
California,CA,Santa Cruz-Watsonville,4.24,4.49,4.687,4.938,U.S Dollar,US Gallon,2026-01-23
California,CA,Santa Rosa,4.27,4.485,4.672,4.948,U.S Dollar,US Gallon,2026-01-23
California,CA,Stockton-Lodi,3.887,4.176,4.407,4.725,U.S Dollar,US Gallon,2026-01-23
California,CA,Vallejo-Fairfield,4.13,4.403,4.605,4.894,U.S Dollar,US Gallon,2026-01-23
California,CA,Ventura,4.328,4.562,4.714,5.011,U.S Dollar,US Gallon,2026-01-23
California,CA,Visalia-Tulare-Porterville,4.141,4.396,4.597,4.878,U.S Dollar,US Gallon,2026-01-23
California,CA,Yolo,3.959,4.322,4.449,4.699,U.S Dollar,US Gallon,2026-01-23
California,CA,Yuba City,3.741,3.975,4.202,4.624,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Boulder-Longmont,2.628,3.046,3.438,3.194,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Colorado Springs,2.445,2.839,3.19,3.04,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Denver,2.577,3.018,3.338,3.006,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Durango,2.762,3.056,3.36,3.27,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Fort Collins-Loveland,2.545,2.954,3.273,3.089,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Glenwood Springs,2.874,3.356,3.512,3.615,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Grand Junction (CO only),2.695,2.994,3.355,3.299,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Greeley,2.526,2.923,3.237,2.92,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Pueblo,2.356,2.773,3.095,2.989,U.S Dollar,US Gallon,2026-01-23
Colorado,CO,Vail,3.084,3.345,3.696,3.371,U.S Dollar,US Gallon,2026-01-23
Connecticut,CT,Bridgeport,2.931,3.655,4.041,3.822,U.S Dollar,US Gallon,2026-01-23
Connecticut,CT,Hartford,2.818,3.52,3.925,3.766,U.S Dollar,US Gallon,2026-01-23
Connecticut,CT,Lower Fairfield County,2.906,3.622,4.016,3.821,U.S Dollar,US Gallon,2026-01-23
Connecticut,CT,New Haven-Meriden,2.831,3.497,3.88,3.779,U.S Dollar,US Gallon,2026-01-23
Connecticut,CT,New London-Norwich (CT only),2.817,3.475,3.839,3.738,U.S Dollar,US Gallon,2026-01-23
Connecticut,CT,Windham,2.906,3.47,3.801,3.778,U.S Dollar,US Gallon,2026-01-23
District of Columbia,DC,Washington (DC only),3.1,3.7,4.085,3.829,U.S Dollar,US Gallon,2026-01-23
District of Columbia,DC,Washington (Entire Metro Average),2.968,3.518,3.869,3.711,U.S Dollar,US Gallon,2026-01-23
Delaware,DE,Dover,2.955,3.429,3.766,3.626,U.S Dollar,US Gallon,2026-01-23
Delaware,DE,Milford-Seaford,2.952,3.369,3.729,3.587,U.S Dollar,US Gallon,2026-01-23
Delaware,DE,Wilmington-Newark (DE only),2.899,3.584,3.835,3.604,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Bradenton-Sarasota-Venice,2.904,3.389,3.697,3.568,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Crestview-Fort Walton Beach,2.609,3.001,3.407,3.312,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Daytona Beach,2.909,3.351,3.682,3.582,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Fort Lauderdale,2.902,3.367,3.67,3.556,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Fort Myers-Cape Coral,2.917,3.4,3.692,3.583,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Gainesville,2.929,3.439,3.792,3.611,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Homosassa Springs,2.929,3.339,3.698,3.598,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Jacksonville,2.896,3.338,3.697,3.572,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Lakeland-Winter Haven,2.9,3.34,3.685,3.566,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Melbourne-Titusville,2.902,3.363,3.699,3.59,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Miami,2.858,3.326,3.56,3.505,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Naples,2.96,3.431,3.757,3.622,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Ocala,2.933,3.367,3.729,3.631,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Orlando,2.922,3.357,3.668,3.576,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Panama City,2.603,3.031,3.443,3.323,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Pensacola,2.62,3.075,3.468,3.297,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Port St. Lucie,2.93,3.372,3.717,3.614,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Punta Gorda,2.886,3.398,3.684,3.572,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Sebastian-Vero Beach,2.914,3.4,3.728,3.617,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Sebring,2.898,3.331,3.675,3.579,U.S Dollar,US Gallon,2026-01-23
Florida,FL,Tallahassee,2.714,3.203,3.561,3.469,U.S Dollar,US Gallon,2026-01-23
