State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.471,3.783,4.006,3.771,U.S Dollar,US Gallon,2026-02-06
Alaska,AK,Fairbanks,3.224,3.431,3.66,3.772,U.S Dollar,US Gallon,2026-02-06
Alaska,AK,Juneau,3.784,3.784,3.857,4.406,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Anniston-Oxford,2.528,2.924,3.311,3.311,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Auburn,2.546,2.944,3.344,3.33,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Birmingham,2.545,3.015,3.435,3.382,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Daphne-Fairhope-Foley,2.612,3.06,3.459,3.386,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Decatur,2.539,3.012,3.387,3.289,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Dothan,2.546,2.929,3.32,3.44,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Florence-Muscle Shoals,2.59,3.04,3.424,3.332,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Gadsden,2.46,2.979,3.377,3.248,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Huntsville,2.587,3.056,3.426,3.362,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Mobile,2.569,3.029,3.406,3.366,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Montgomery,2.566,3.046,3.438,3.347,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Russell County,2.588,3.088,3.496,3.458,U.S Dollar,US Gallon,2026-02-06
Alabama,AL,Tuscaloosa,2.55,3.01,3.446,3.366,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,Fayetteville-Springdale-Rogers,2.453,2.869,3.142,3.181,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,Fort Smith (AR only),2.386,2.817,3.13,3.202,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,Hot Springs,2.421,2.992,3.322,3.193,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,Jonesboro,2.414,2.781,3.229,3.353,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,Little Rock-North Little Rock,2.408,2.924,3.284,3.222,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,Pine Bluff,2.465,2.863,3.356,3.283,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,Texarkana (AR only),2.575,3.18,3.537,3.265,U.S Dollar,US Gallon,2026-02-06
Arkansas,AR,West Memphis,2.522,3.081,3.542,3.45,U.S Dollar,US Gallon,2026-02-06
Arizona,AZ,East Valley,3.174,3.56,3.881,3.487,U.S Dollar,US Gallon,2026-02-06
