State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.289,3.557,3.784,3.547,U.S Dollar,US Gallon,2025-02-01
Alaska,AK,Fairbanks,3.208,3.425,3.645,3.601,U.S Dollar,US Gallon,2025-02-01
Alaska,AK,Juneau,3.391,3.397,3.485,3.499,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Anniston-Oxford,2.836,3.238,3.621,3.397,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Auburn,2.758,3.159,3.566,3.388,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Birmingham,2.816,3.304,3.683,3.526,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Daphne-Fairhope-Foley,2.775,3.194,3.577,3.422,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Decatur,2.763,3.202,3.577,3.395,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Dothan,2.856,3.221,3.655,3.61,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Florence-Muscle Shoals,2.844,3.274,3.659,3.397,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Gadsden,2.702,3.143,3.469,3.363,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Huntsville,2.822,3.234,3.617,3.427,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Mobile,2.76,3.207,3.569,3.466,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Montgomery,2.804,3.252,3.646,3.442,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Russell County,2.806,3.26,3.601,3.41,U.S Dollar,US Gallon,2025-02-01
Alabama,AL,Tuscaloosa,2.801,3.266,3.67,3.413,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,Fayetteville-Springdale-Rogers,2.785,3.17,3.449,3.248,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,Fort Smith (AR only),2.695,3.035,3.43,3.23,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,Hot Springs,2.707,3.168,3.567,3.262,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,Jonesboro,2.723,3.089,3.489,3.38,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,Little Rock-North Little Rock,2.717,3.151,3.529,3.259,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,Pine Bluff,2.727,3.23,3.638,3.389,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,Texarkana (AR only),2.844,3.205,3.563,3.465,U.S Dollar,US Gallon,2025-02-01
Arkansas,AR,West Memphis,2.825,3.24,3.637,3.503,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,East Valley,3.378,3.727,4.052,3.619,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Flagstaff,3.209,3.49,3.817,3.719,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Glendale,3.375,3.695,4.006,3.554,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Lake Havasu-Kingman,3.112,3.378,3.722,3.711,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Peoria,3.361,3.723,4.029,3.556,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Phoenix Proper,3.374,3.722,4.011,3.601,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Phoenix-Mesa,3.358,3.696,4.008,3.62,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Pima County,3.047,3.388,3.697,3.575,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Prescott,3.257,3.502,3.803,3.714,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Scottsdale,3.427,3.748,4.06,3.727,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Sierra Vista-Douglas,3.169,3.476,3.784,3.668,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Tucson,3.046,3.39,3.697,3.583,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,West Valley,3.357,3.688,3.99,3.545,U.S Dollar,US Gallon,2025-02-01
Arizona,AZ,Yuma,3.055,3.397,3.697,3.592,U.S Dollar,US Gallon,2025-02-01
California,CA,Bakersfield,4.352,4.544,4.762,5.016,U.S Dollar,US Gallon,2025-02-01
California,CA,Chico-Paradise,4.242,4.438,4.63,4.743,U.S Dollar,US Gallon,2025-02-01
California,CA,El Centro,4.286,4.487,4.691,4.902,U.S Dollar,US Gallon,2025-02-01
California,CA,Fresno,4.392,4.632,4.835,4.976,U.S Dollar,US Gallon,2025-02-01
California,CA,Hanford-Corcoran,4.28,4.501,4.677,4.911,U.S Dollar,US Gallon,2025-02-01
California,CA,Los Angeles-Long Beach,4.522,4.738,4.899,5.043,U.S Dollar,US Gallon,2025-02-01
California,CA,Madera-Chowchilla,4.366,4.661,4.819,5.002,U.S Dollar,US Gallon,2025-02-01
California,CA,Merced,4.36,4.612,4.832,4.992,U.S Dollar,US Gallon,2025-02-01
California,CA,Modesto,4.261,4.493,4.701,4.914,U.S Dollar,US Gallon,2025-02-01
