State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,4.7928,5.0751,5.3071,5.4535,U.S Dollar,US Gallon,2026-08-13
Alaska,AK,Fairbanks,4.7382,5.0395,5.2158,5.3793,U.S Dollar,US Gallon,2026-08-13
Alaska,AK,Juneau,4.7332,4.7161,4.8561,5.7361,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Anniston-Oxford,3.5474,4.0317,4.4772,5.0779,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Auburn,3.6229,4.0932,4.5092,5.0756,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Birmingham,3.6085,4.1107,4.5101,5.1267,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Daphne-Fairhope-Foley,3.5099,3.968,4.3949,5.0921,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Decatur,3.574,4.0451,4.415,5.0518,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Dothan,3.7037,4.159,4.5444,5.1812,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Florence-Muscle Shoals,3.5082,3.9104,4.3264,5.0256,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Gadsden,3.5395,4.0743,4.4733,5.02,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Huntsville,3.6043,4.0955,4.4173,5.0533,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Mobile,3.5322,3.9954,4.4218,5.1046,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Montgomery,3.6622,4.1613,4.596,5.0859,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Russell County,3.6793,4.1737,4.5995,5.139,U.S Dollar,US Gallon,2026-08-13
Alabama,AL,Tuscaloosa,3.5989,4.0778,4.4974,5.0874,U.S Dollar,US Gallon,2026-08-13
