State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.4,3.65,3.872,3.544,U.S Dollar,US Gallon,2025-02-15
Alaska,AK,Fairbanks,3.441,3.638,3.858,3.596,U.S Dollar,US Gallon,2025-02-15
Alaska,AK,Juneau,3.458,3.489,3.734,3.621,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Anniston-Oxford,2.808,3.225,3.596,3.415,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Auburn,2.792,3.193,3.609,3.444,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Birmingham,2.796,3.279,3.669,3.53,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Daphne-Fairhope-Foley,2.825,3.259,3.633,3.463,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Decatur,2.765,3.188,3.578,3.403,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Dothan,2.848,3.249,3.654,3.613,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Florence-Muscle Shoals,2.817,3.226,3.631,3.425,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Gadsden,2.704,3.145,3.52,3.382,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Huntsville,2.817,3.227,3.59,3.461,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Mobile,2.784,3.24,3.6,3.47,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Montgomery,2.815,3.265,3.664,3.483,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Russell County,2.808,3.27,3.655,3.484,U.S Dollar,US Gallon,2025-02-15
Alabama,AL,Tuscaloosa,2.799,3.248,3.663,3.457,U.S Dollar,US Gallon,2025-02-15
Arkansas,AR,Fayetteville-Springdale-Rogers,2.911,3.296,3.571,3.194,U.S Dollar,US Gallon,2025-02-15
Arkansas,AR,Fort Smith (AR only),2.843,3.224,3.616,3.251,U.S Dollar,US Gallon,2025-02-15
Arkansas,AR,Hot Springs,2.811,3.317,3.688,3.26,U.S Dollar,US Gallon,2025-02-15
