State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.406,3.723,3.939,3.572,U.S Dollar,US Gallon,2024-12-04
Alaska,AK,Fairbanks,3.412,3.643,3.864,3.644,U.S Dollar,US Gallon,2024-12-04
Alaska,AK,Juneau,3.583,3.507,3.607,3.527,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Anniston-Oxford,2.776,3.195,3.601,3.312,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Auburn,2.723,3.14,3.562,3.283,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Birmingham,2.75,3.231,3.629,3.395,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Daphne-Fairhope-Foley,2.743,3.174,3.548,3.236,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Decatur,2.688,3.159,3.519,3.248,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Dothan,2.831,3.217,3.621,3.552,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Florence-Muscle Shoals,2.799,3.231,3.644,3.283,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Gadsden,2.707,3.087,3.528,3.275,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Huntsville,2.792,3.237,3.596,3.383,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Mobile,2.702,3.168,3.538,3.29,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Montgomery,2.775,3.24,3.64,3.327,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Russell County,2.74,3.188,3.524,3.424,U.S Dollar,US Gallon,2024-12-04
Alabama,AL,Tuscaloosa,2.723,3.173,3.604,3.275,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,Fayetteville-Springdale-Rogers,2.557,2.938,3.242,3.034,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,Fort Smith (AR only),2.519,2.885,3.254,3.114,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,Hot Springs,2.655,3.151,3.508,3.224,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,Jonesboro,2.593,2.977,3.403,3.224,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,Little Rock-North Little Rock,2.623,3.078,3.464,3.157,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,Pine Bluff,2.696,3.188,3.656,3.26,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,Texarkana (AR only),2.669,3.055,3.453,3.214,U.S Dollar,US Gallon,2024-12-04
Arkansas,AR,West Memphis,2.693,3.098,3.572,3.132,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,East Valley,3.26,3.612,3.944,3.475,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Flagstaff,3.211,3.504,3.869,3.608,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Glendale,3.23,3.599,3.891,3.502,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Lake Havasu-Kingman,3.085,3.352,3.634,3.531,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Peoria,3.251,3.616,3.928,3.507,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Phoenix Proper,3.251,3.591,3.917,3.556,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Phoenix-Mesa,3.242,3.587,3.909,3.543,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Pima County,3.01,3.347,3.663,3.514,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Prescott,3.24,3.524,3.832,3.471,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Scottsdale,3.324,3.652,3.95,3.72,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Sierra Vista-Douglas,3.241,3.511,3.83,3.545,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Tucson,3.016,3.359,3.675,3.52,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,West Valley,3.23,3.605,3.898,3.491,U.S Dollar,US Gallon,2024-12-04
Arizona,AZ,Yuma,3.156,3.472,3.792,3.388,U.S Dollar,US Gallon,2024-12-04
California,CA,Bakersfield,4.36,4.599,4.805,4.977,U.S Dollar,US Gallon,2024-12-04
California,CA,Chico-Paradise,4.218,4.396,4.578,4.578,U.S Dollar,US Gallon,2024-12-04
