State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.556,3.821,4.052,3.617,U.S Dollar,US Gallon,2025-06-05
Alaska,AK,Fairbanks,3.682,3.937,4.208,3.732,U.S Dollar,US Gallon,2025-06-05
Alaska,AK,Juneau,3.683,3.726,3.883,3.858,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Anniston-Oxford,2.736,3.149,3.56,3.207,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Auburn,2.757,3.153,3.554,3.158,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Birmingham,2.728,3.202,3.61,3.292,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Daphne-Fairhope-Foley,2.761,3.21,3.605,3.208,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Decatur,2.645,3.084,3.467,3.185,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Dothan,2.793,3.197,3.6,3.411,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Florence-Muscle Shoals,2.725,3.14,3.55,3.181,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Gadsden,2.634,3.086,3.507,3.093,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Huntsville,2.691,3.129,3.482,3.25,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Mobile,2.756,3.229,3.603,3.199,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Montgomery,2.775,3.246,3.645,3.221,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Russell County,2.794,3.223,3.537,3.349,U.S Dollar,US Gallon,2025-06-05
Alabama,AL,Tuscaloosa,2.691,3.14,3.552,3.26,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,Fayetteville-Springdale-Rogers,2.786,3.203,3.471,3.11,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,Fort Smith (AR only),2.739,3.186,3.529,3.103,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,Hot Springs,2.744,3.253,3.603,3.19,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,Jonesboro,2.676,3.109,3.486,3.206,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,Little Rock-North Little Rock,2.727,3.164,3.556,3.124,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,Pine Bluff,2.728,3.309,3.689,3.191,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,Texarkana (AR only),2.758,3.158,3.58,3.11,U.S Dollar,US Gallon,2025-06-05
Arkansas,AR,West Memphis,2.752,3.241,3.599,3.237,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,East Valley,3.55,3.904,4.229,3.432,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Flagstaff,3.203,3.442,3.788,3.332,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Glendale,3.464,3.845,4.185,3.386,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Lake Havasu-Kingman,3.148,3.395,3.721,3.544,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Peoria,3.465,3.827,4.143,3.472,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Phoenix Proper,3.47,3.815,4.123,3.398,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Phoenix-Mesa,3.485,3.839,4.16,3.431,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Pima County,2.988,3.336,3.643,3.319,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Prescott,3.18,3.434,3.765,3.526,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Scottsdale,3.626,3.965,4.29,3.652,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Sierra Vista-Douglas,3.0,3.224,3.563,3.362,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Tucson,2.982,3.334,3.64,3.305,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,West Valley,3.444,3.813,4.138,3.4,U.S Dollar,US Gallon,2025-06-05
Arizona,AZ,Yuma,2.921,3.312,3.613,3.353,U.S Dollar,US Gallon,2025-06-05
California,CA,Bakersfield,4.668,4.884,5.104,4.963,U.S Dollar,US Gallon,2025-06-05
California,CA,Chico-Paradise,4.721,4.929,5.107,5.07,U.S Dollar,US Gallon,2025-06-05
California,CA,El Centro,4.357,4.449,4.668,4.762,U.S Dollar,US Gallon,2025-06-05
California,CA,Fresno,4.75,5.003,5.192,5.218,U.S Dollar,US Gallon,2025-06-05
California,CA,Hanford-Corcoran,4.618,4.826,5.075,5.063,U.S Dollar,US Gallon,2025-06-05
California,CA,Los Angeles-Long Beach,4.717,4.938,5.096,4.969,U.S Dollar,US Gallon,2025-06-05
California,CA,Madera-Chowchilla,4.805,5.062,5.239,5.201,U.S Dollar,US Gallon,2025-06-05
California,CA,Merced,4.678,5.017,5.24,5.161,U.S Dollar,US Gallon,2025-06-05
California,CA,Modesto,4.588,4.861,5.07,5.259,U.S Dollar,US Gallon,2025-06-05
California,CA,Napa,5.091,5.302,5.461,5.322,U.S Dollar,US Gallon,2025-06-05
California,CA,Oakland,4.865,5.133,5.293,5.307,U.S Dollar,US Gallon,2025-06-05
California,CA,Orange County,4.629,4.85,5.001,4.787,U.S Dollar,US Gallon,2025-06-05
California,CA,Redding,4.605,4.768,4.916,5.045,U.S Dollar,US Gallon,2025-06-05
California,CA,Riverside,4.546,4.799,4.961,4.817,U.S Dollar,US Gallon,2025-06-05
California,CA,Sacramento,4.779,5.023,5.232,5.267,U.S Dollar,US Gallon,2025-06-05
California,CA,Salinas,5.041,5.202,5.428,5.49,U.S Dollar,US Gallon,2025-06-05
California,CA,San Bernardino,4.568,4.766,4.941,4.859,U.S Dollar,US Gallon,2025-06-05
